date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,12.258994,12.76353772,11.7726868,12.6541186,12.1728771,1614010,196444479.0,2,10.590617,1,3.9534,0,12.36233
2015-12-31,12.4920162,12.50113446,11.448482,11.701767,12.6541186,1317744,155665956.0,2,8.646614,1,-7.526,0,12.03585
2016-01-04,11.54878286,11.65111,10.5315903,10.5315903,11.701767,814327,88528409.0,2,5.343353,1,-10.0,0,11.06577
2016-01-05,9.726144,10.9317806,9.726144,10.536656,10.5315903,1547417,158354559.0,2,10.153655,1,0.0481,0,10.23018
2016-01-06,10.536656,10.92367548,10.384685,10.89024186,10.536656,1379003,146145427.0,2,9.048576,1,3.3558,0,10.68381
2016-01-07,10.63797,10.64911454,9.80111636,9.80111636,10.89024186,326200,32309176.0,2,2.14042,1,-10.0009,0,10.22233
2016-01-08,10.23068772,10.3745536,8.915632,9.878115,9.80111636,1121785,110076620.0,2,7.360794,1,0.7856,0,9.84975
2016-01-11,9.5843044,9.5843044,8.8903035,8.8903035,9.878115,1114485,100344514.0,2,7.312894,1,-10.0,0,9.2373
2016-01-12,8.84268592,9.16689072,8.71401714,8.94399992,8.8903035,983697,87273519.0,2,6.454705,1,0.604,0,8.9169
2016-01-13,8.91664514,9.067603,8.054463,8.05547614,8.94399992,1077665,91121894.0,2,7.071293,1,-9.9343,0,8.52355
2016-01-14,7.87817664,8.86092244,7.699864,8.86092244,8.05547614,1072991,89047780.0,2,7.040623,1,9.9987,0,8.32497
2016-01-15,8.8751064,9.11623372,8.61169,8.71199086,8.86092244,1156543,101500048.0,2,7.588865,1,-1.6808,0,8.82876
2016-01-18,8.61169,9.31683544,8.17502666,9.1385228,8.71199086,1034466,91194698.0,2,6.787835,1,4.8959,0,8.81052
2016-01-19,9.1385228,9.5539102,8.9358948,9.4576619,9.1385228,1006946,91547361.0,2,6.607257,1,3.4922,0,9.2715
2016-01-20,9.270231,9.60051464,9.1435885,9.3158223,9.4576619,783971,72656006.0,2,5.144167,1,-1.4997,0,9.33254
2016-01-21,9.219574,9.5184503,8.61169,8.662347,9.3158223,973099,88115694.0,2,6.385164,1,-7.0147,0,9.00302
2016-01-22,8.84065964,9.30873032,8.65626816,9.30873032,8.662347,834711,74021766.0,2,5.477106,1,7.462,0,9.0286
2016-01-25,9.3614136,9.49616122,9.219574,9.36445302,9.30873032,636431,58841580.0,2,4.176056,1,0.5986,0,9.3604
