date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,13.19120155,13.3111735,12.9798224,13.05409075,13.1969145,64113767,1471577056.0,2,1.07336,1,-1.0823,0,13.13407
2015-12-31,13.05409075,13.11122025,12.75701735,12.76844325,13.05409075,46684646,1051608336.0,2,0.78171,1,-2.1882,0,12.92269
2016-01-04,12.7741562,12.83699865,11.540159,11.5744367,12.76844325,69900295,1494032736.0,2,1.170444,1,-9.3512,0,12.18144
2016-01-05,11.3687705,12.14001875,11.311641,11.91150075,11.5744367,102736768,2123742768.0,2,1.720274,1,2.9121,0,11.68298
2016-01-06,11.98005615,12.0543245,11.71726045,12.0086209,11.91150075,56710998,1182657216.0,2,0.949596,1,0.8153,0,11.94007
2016-01-07,11.8258065,11.8258065,11.13453955,11.1859561,12.0086209,23123978,462826992.0,2,0.387199,1,-6.8506,0,11.49303
2016-01-08,11.5515849,11.83151945,10.91744745,11.56872375,11.1859561,103633072,2094464272.0,2,1.735282,1,3.4219,0,11.46732
2016-01-11,11.3687705,11.68298275,11.0259935,11.07741005,11.56872375,79558880,1581340624.0,2,1.332172,1,-4.2469,0,11.28879
2016-01-12,11.22594675,11.35163165,10.9802899,11.16881725,11.07741005,50637771,990630896.0,2,0.847903,1,0.8252,0,11.18167
2016-01-13,11.2545115,11.3459187,10.968864,11.0259935,11.16881725,45665506,895008432.0,2,0.764645,1,-1.2788,0,11.14882
2016-01-14,10.740346,11.2545115,10.6375129,11.16881725,11.0259935,65884150,1265720688.0,2,1.103196,1,1.2953,0,10.9503
2016-01-15,10.9917158,11.21452085,10.626087,10.740346,11.16881725,61535600,1175307568.0,2,1.030382,1,-3.8363,0,10.89317
2016-01-18,10.57467045,10.88316975,10.5689575,10.76891075,10.740346,38216414,720353744.0,2,0.639914,1,0.266,0,10.69893
2016-01-19,10.740346,11.3459187,10.7174942,11.2316597,10.76891075,62049025,1203350416.0,2,1.038979,1,4.2971,0,11.00885
2016-01-20,11.197382,11.27165035,10.86031795,11.0145676,11.2316597,45047511,872346272.0,2,0.754297,1,-1.9329,0,11.08598
2016-01-21,10.8660309,11.083123,10.68892945,10.68892945,11.0145676,36887474,702271408.0,2,0.617662,1,-2.9564,0,10.83175
2016-01-22,10.80318845,11.0259935,10.6832165,10.90602155,10.68892945,33631756,638674784.0,2,0.563146,1,2.031,0,10.8546
2016-01-25,10.9917158,11.1174007,10.88316975,10.98600285,10.90602155,29423813,567330144.0,2,0.492686,1,0.7334,0,10.99457
2016-01-26,10.9003086,10.9460122,10.5232539,10.626087,10.98600285,44832451,841980128.0,2,0.750696,1,-3.2761,0,10.74892
2016-01-27,10.7174942,10.8089014,10.24331935,10.5575316,10.626087,50647839,929965936.0,2,0.848072,1,-0.6452,0,10.58181
2016-01-28,10.4661244,10.7174942,10.40328195,10.46041145,10.5575316,32746852,605757168.0,2,0.548329,1,-0.9199,0,10.51183
2016-01-29,10.511828,10.7974755,10.4318467,10.70035535,10.46041145,41414298,770606224.0,2,0.693461,1,2.2938,0,10.61038
2016-02-01,10.7174942,10.74605895,10.4546985,10.5346798,10.70035535,28424313,526632224.0,2,0.47595,1,-1.5483,0,10.61323
2016-02-02,10.56324455,10.9003086,10.56324455,10.8317532,10.5346798,39942851,756074688.0,2,0.668822,1,2.8199,0,10.71464
2016-02-03,10.75748485,10.83746615,10.6603647,10.7631978,10.8317532,28318037,533254352.0,2,0.474171,1,-0.6329,0,10.75463
2016-02-04,10.8317532,11.02028055,10.7746237,10.854605,10.7631978,39826952,759789696.0,2,0.666882,1,0.8493,0,10.87032
2016-02-05,10.84889205,10.90602155,10.7631978,10.76891075,10.854605,22699646,429874928.0,2,0.380094,1,-0.7895,0,10.82176
2016-02-15,10.54039275,10.75748485,10.49468915,10.6489388,10.76891075,25690356,478760080.0,2,0.430172,1,-1.1141,0,10.61038
2016-02-16,10.7974755,10.96315105,10.740346,10.89459565,10.6489388,46952805,895230832.0,2,0.7862,1,2.3069,0,10.84889
2016-02-17,10.90602155,11.03170645,10.8660309,10.968864,10.89459565,39156957,751372896.0,2,0.655663,1,0.6817,0,10.94316
2016-02-18,11.03170645,11.0716971,10.9117345,10.9802899,10.968864,46005651,883698400.0,2,0.770341,1,0.1042,0,10.99886
2016-02-19,10.96315105,11.0145676,10.9117345,10.9802899,10.9802899,31891275,612235568.0,2,0.534003,1,0.0,0,10.96744
2016-02-22,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-02-23,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-02-24,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-02-25,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-02-26,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-02-29,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-01,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-02,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-03,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-04,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-07,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-08,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-09,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-10,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-11,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-14,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-15,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-16,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-17,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
2016-03-18,10.9802899,10.9802899,10.9802899,10.9802899,10.9802899,0,0.0,2,,0,0.0,0,10.98029
