date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,16.638981,17.38401,16.58434554,17.3095071,16.58434554,6043364,207067994.0,2,1.168354,1,4.3726,0,16.97921
2015-12-31,17.23997106,17.37407628,16.64394786,16.67374902,17.3095071,4130707,141487203.0,2,0.796839,1,-3.6729,0,16.98294
2016-01-04,16.7134839,16.87242342,15.1985916,15.23335962,16.67374902,3963731,129238788.0,2,0.764629,1,-8.6387,0,16.00446
2016-01-05,14.7515742,15.3475974,14.34429168,14.98501662,15.23335962,6109656,183721863.0,2,1.178591,1,-1.6303,0,14.85712
2016-01-06,15.1985916,15.34263054,14.9254143,15.21349218,14.98501662,3331677,101535178.0,2,0.642701,1,1.5247,0,15.17003
2016-01-07,14.90058,14.90058,13.69363302,13.73833476,15.21349218,1055500,30338074.0,2,0.203613,1,-9.6964,0,14.30828
2016-01-08,14.05124694,14.2052196,12.913836,13.49992548,13.73833476,6845345,187649128.0,2,1.32051,1,-1.7354,0,13.66756
2016-01-11,13.30621794,13.7333679,12.2433099,12.3923157,13.49992548,5424262,142192199.0,2,1.046374,1,-8.2046,0,12.9188
2016-01-12,12.45191802,12.913836,12.42211686,12.8393331,12.3923157,5235360,133610616.0,2,1.009934,1,3.6072,0,12.6568
2016-01-13,13.2118476,13.63899756,12.665493,12.84926682,12.8393331,5873758,156595324.0,2,1.133085,1,0.0774,0,13.0914
2016-01-14,12.42211686,13.57939524,12.24827676,13.57939524,12.84926682,6089982,162381411.0,2,1.174796,1,5.6823,0,12.9573
2016-01-15,13.41548886,13.57939524,12.72012846,12.84926682,13.57939524,4975333,131779801.0,2,0.959773,1,-5.3767,0,13.14107
2016-01-18,12.92376972,13.49992548,12.85920054,13.25158248,12.84926682,4508595,119332380.0,2,0.869736,1,3.131,0,13.13362
2016-01-19,13.0380075,13.65389814,12.91880286,13.62409698,13.25158248,5597118,150379984.0,2,1.079719,1,2.8111,0,13.3087
2016-01-20,13.51979292,13.82277138,13.4353563,13.4850249,13.62409698,4425614,121321591.0,2,0.853729,1,-1.0208,0,13.56574
2016-01-21,13.410522,13.74826848,13.162179,13.17707958,13.4850249,5438186,147538117.0,2,1.04906,1,-2.2836,0,13.37451
2016-01-22,13.3608534,13.40555514,12.76979706,13.20191388,13.17707958,3562295,93874875.0,2,0.687189,1,0.1885,0,13.18453
2016-01-25,13.2615162,13.5098592,13.1125104,13.25654934,13.20191388,2965032,79524029.0,2,0.571973,1,0.4138,0,13.28511
2016-01-26,13.0380075,13.24164876,12.0943041,12.168807,13.25654934,4819145,122757857.0,2,0.929643,1,-8.2053,0,12.63569
2016-01-27,12.3426471,12.34761396,11.43371172,12.0446355,12.168807,4740813,113263122.0,2,0.914533,1,-1.0204,0,12.04215
2016-01-28,11.96019888,12.0694698,11.13073326,11.41881114,12.0446355,4302262,100729972.0,2,0.829933,1,-5.1959,0,11.6448
2016-01-29,11.41881114,12.01483434,11.2747722,11.84099424,11.41881114,4951511,116491363.0,2,0.955177,1,3.6973,0,11.63735
2016-02-01,11.77642506,11.85092796,11.43371172,11.70192216,11.84099424,4812104,112610495.0,2,0.928285,1,-1.1745,0,11.69075
2016-02-02,11.85589482,12.31284594,11.76649134,12.12907212,11.70192216,4670122,113829781.0,2,0.900896,1,3.6503,0,12.01608
2016-02-03,11.96019888,12.41715,11.82609366,12.3178128,12.12907212,3611747,87914476.0,2,0.696729,1,1.5561,0,12.13031
2016-02-04,12.32277966,12.913836,12.32277966,12.913836,12.3178128,5725653,145106027.0,2,1.104514,1,4.8387,0,12.61831
2016-02-05,12.7896645,12.9883389,12.7648302,12.76979706,12.913836,2909910,75410798.0,2,0.56134,1,-1.1154,0,12.82816
2016-02-15,12.4668186,12.65555928,12.32277966,12.5164872,12.76979706,3920803,98361109.0,2,0.756347,1,-1.9837,0,12.49041
2016-02-16,12.57112266,13.15224528,12.57112266,13.07277552,12.5164872,3861966,100642840.0,2,0.744997,1,4.4444,0,12.84182
2016-02-17,13.07277552,13.4353563,12.9386703,13.3360191,13.07277552,4682165,124563899.0,2,0.903219,1,2.0137,0,13.19571
2016-02-18,13.54959408,13.54959408,13.07774238,13.07774238,13.3360191,3304695,88083766.0,2,0.637496,1,-1.9367,0,13.31367
2016-02-19,13.0876761,13.59429582,13.0876761,13.5098592,13.07774238,4512245,121746065.0,2,0.87044,1,3.3042,0,13.31988
2016-02-22,13.62906384,14.14561728,13.59429582,13.8823737,13.5098592,5347848,149759926.0,2,1.031633,1,2.7574,0,13.81284
2016-02-23,13.89727428,14.0810481,13.3360191,13.4850249,13.8823737,5962917,163482980.0,2,1.150284,1,-2.8623,0,13.69984
2016-02-24,13.5843621,13.5843621,12.913836,13.41548886,13.4850249,4449836,118960010.0,2,0.858401,1,-0.5157,0,13.37451
2016-02-25,13.25158248,13.39065456,12.07443666,12.07443666,13.41548886,6007672,153152729.0,2,1.158918,1,-9.9963,0,12.69778
2016-02-26,12.17377386,12.48171918,11.98006632,12.36251454,12.07443666,5257768,129790312.0,2,1.014256,1,2.3858,0,12.24952
2016-02-29,12.3178128,12.3178128,11.4734466,11.70688902,12.36251454,5023294,118840044.0,2,0.969025,1,-5.3033,0,11.95399
2016-03-01,11.78139192,12.13900584,11.2251036,11.96516574,11.70688902,4059706,95788631.0,2,0.783143,1,2.2062,0,11.77767
