date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2015-12-30,6.862305,6.931665,6.63255,6.64122,6.97935,29215934,454573408.0,2,2.405262,1,-4.8447,0,6.76694
2015-12-31,6.654225,6.714915,6.437475,6.55452,6.64122,22952666,347248160.0,2,1.889626,1,-1.3055,0,6.59028
2016-01-04,6.5025,6.53718,5.93028,6.05166,6.55452,17671766,255711855.0,2,1.454865,1,-7.672,0,6.2554
2016-01-05,5.830575,6.437475,5.804565,6.350775,6.05166,36100244,511367664.0,2,2.972027,1,4.9427,0,6.10585
2016-01-06,6.28575,6.610875,6.07767,6.54585,6.350775,27775825,407396208.0,2,2.286702,1,3.0717,0,6.38004
2016-01-07,6.38112,6.40713,5.891265,5.891265,6.54585,5657600,79390107.0,2,0.465774,1,-10.0,0,6.1427
2016-01-08,6.069,6.238065,5.449095,6.012645,5.891265,22311804,308319232.0,2,1.836865,1,2.0603,0,5.9422
2016-01-11,5.74821,6.4158,5.683185,5.977965,6.012645,33325431,473776000.0,2,2.743585,1,-0.5768,0,5.95629
2016-01-12,5.899935,6.576195,5.899935,6.45048,5.977965,39634716,578431920.0,2,3.26301,1,7.9043,0,6.20664
2016-01-13,6.45915,6.5892,5.99097,6.02565,6.45048,39860067,578598576.0,2,3.281562,1,-6.586,0,6.26624
2016-01-14,5.70486,6.2424,5.639835,6.21639,6.02565,23948365,331793632.0,2,1.971599,1,3.1655,0,5.95087
2016-01-15,6.1557,6.220725,5.639835,5.778555,6.21639,16044705,221916254.0,2,1.320913,1,-7.0432,0,5.9487
2016-01-18,5.778555,5.99097,5.33205,5.917275,5.778555,23213882,303314224.0,2,1.911131,1,2.4006,0,5.75471
2016-01-19,5.80023,6.168705,5.700525,6.021315,5.917275,18864789,259814240.0,2,1.553083,1,1.7582,0,5.92269
2016-01-20,6.055995,6.090675,5.596485,5.6355,6.021315,21288501,286252528.0,2,1.75262,1,-6.4075,0,5.84466
2016-01-21,5.449095,5.75688,5.202,5.202,5.6355,14292227,181003994.0,2,1.176637,1,-7.6923,0,5.40249
2016-01-22,5.30604,5.388405,4.91589,5.10663,5.202,14393019,170125581.0,2,1.184935,1,-1.8333,0,5.17924
2016-01-25,5.15865,5.34939,5.102295,5.34072,5.10663,11798789,142911620.0,2,0.97136,1,4.584,0,5.23776
2016-01-26,5.24535,5.67885,5.08062,5.15865,5.34072,25657248,319821024.0,2,2.112286,1,-3.4091,0,5.29087
2016-01-27,5.206335,5.2887,4.64712,5.14998,5.15865,18307508,206490249.0,2,1.507203,1,-0.1681,0,5.07303
2016-01-28,4.989585,5.293035,4.81185,4.859535,5.14998,15644009,182241736.0,2,1.287925,1,-5.6397,0,4.9885
2016-01-29,4.8552,5.08929,4.81185,5.00259,4.859535,15502415,177757810.0,2,1.276268,1,2.9438,0,4.93973
2016-02-01,4.91589,5.006925,4.504065,4.504065,5.00259,23439573,253691031.0,2,1.929711,1,-9.9653,0,4.73274
2016-02-02,4.460715,4.62978,4.36968,4.582095,4.504065,23636721,247206450.0,2,1.945942,1,1.7324,0,4.51057
2016-02-03,4.44771,4.49973,4.30899,4.43904,4.582095,16738209,169718643.0,2,1.378008,1,-3.122,0,4.42387
2016-02-04,4.48239,4.63845,4.452045,4.608105,4.43904,20843665,219340690.0,2,1.715998,1,3.8086,0,4.54525
2016-02-05,4.625445,4.634115,4.41303,4.4217,4.608105,13053431,135391095.0,2,1.074651,1,-4.0452,0,4.52357
2016-02-15,4.226625,4.36101,4.183275,4.295985,4.4217,10158177,100090769.0,2,0.836293,1,-2.8431,0,4.26672
2016-02-16,4.348005,4.582095,4.321995,4.530075,4.295985,18236090,188147780.0,2,1.501324,1,5.449,0,4.44554
2016-02-17,4.5084,4.84653,4.49106,4.781505,4.530075,26820026,292198880.0,2,2.208014,1,5.5502,0,4.65687
2016-02-18,4.746825,4.84653,4.64712,4.69047,4.781505,17731595,193531189.0,2,1.45979,1,-1.9039,0,4.73274
2016-02-19,4.64712,4.78584,4.64712,4.72515,4.69047,10527613,114502051.0,2,0.866707,1,0.7394,0,4.70131
2016-02-22,4.83786,5.024265,4.73382,4.92456,4.72515,19457198,218814700.0,2,1.601854,1,4.2202,0,4.88013
2016-02-23,4.89855,5.05461,4.876875,4.989585,4.92456,20085593,229967429.0,2,1.653588,1,1.3204,0,4.9549
2016-02-24,4.9419,5.06328,4.790175,4.89855,4.989585,14111665,160219565.0,2,1.161772,1,-1.8245,0,4.92348
2016-02-25,4.876875,4.9419,4.408695,4.426035,4.89855,18029887,192941441.0,2,1.484348,1,-9.646,0,4.66338
2016-02-26,4.6818,4.868205,4.5084,4.764165,4.426035,42073700,459604176.0,2,3.463804,1,7.6396,0,4.70564
2016-02-29,4.63845,4.6818,4.287315,4.37835,4.764165,28625815,289791936.0,2,2.356679,1,-8.0983,0,4.49648
2016-03-01,4.400025,4.625445,4.28298,4.538745,4.37835,19460899,199716568.0,2,1.602159,1,3.6634,0,4.4618
2016-03-02,4.5084,4.84653,4.443375,4.79451,4.538745,29937843,323542352.0,2,2.464695,1,5.6351,0,4.6482
2016-03-03,4.79451,4.894215,4.72515,4.75116,4.79451,27522358,305727184.0,2,2.265835,1,-0.9042,0,4.79126
