date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,vwap
2022-12-30,15.37,17.63,15.0,16.06,13.99,23394904,371613400.43,2,67.2529,1,14.7963,0,15.88437
2023-01-03,16.0,16.58,15.2,16.29,16.06,14559784,231715002.84,2,41.8547,1,1.4321,0,15.91473
2023-01-04,16.09,17.17,15.4,15.63,16.29,13235600,213121056.35,2,38.0481,1,-4.0516,0,16.10211
2023-01-05,15.65,16.5,15.42,16.28,15.63,11689740,187359300.55,2,33.6043,1,4.1587,0,16.02767
2023-01-06,16.01,17.07,15.82,16.9,16.28,10624105,174346914.09,2,30.5409,1,3.8084,0,16.4105
2023-01-09,16.7,17.13,16.36,16.55,16.9,8561934,142712075.68,2,24.6128,1,-2.071,0,16.66821
2023-01-10,16.42,17.42,16.41,16.6,16.55,10725302,181240866.34,2,30.8318,1,0.3021,0,16.89844
2023-01-11,16.45,17.12,16.01,16.19,16.6,9241794,153219326.64,2,26.5672,1,-2.4699,0,16.57896
2023-01-12,16.1,18.46,15.91,17.59,16.19,15692445,268404468.97,2,45.1108,1,8.6473,0,17.10406
2023-01-13,17.55,17.95,17.21,17.55,17.59,8867839,155715179.13,2,25.4922,1,-0.2274,0,17.55954
2023-01-16,17.55,18.19,17.5,17.5,17.55,6687457,118995554.52,2,19.2243,1,-0.2849,0,17.79384
2023-01-17,17.6,21.0,17.6,21.0,17.5,14863019,299012041.05,2,42.7264,1,20.0,0,20.11785
2023-01-18,21.25,25.2,21.21,25.2,21.0,11253313,259128409.37,2,32.3497,1,20.0,0,23.02686
2023-01-19,25.8,26.41,22.51,24.05,25.2,15122405,359218870.9,2,43.4721,1,-4.5635,0,23.75408
2023-01-20,24.64,24.74,23.12,24.17,24.05,10508222,251069472.09,2,30.2078,1,0.499,0,23.89267
2023-01-30,24.36,25.95,23.65,25.7,24.17,12295167,303633428.21,2,35.3447,1,6.3302,0,24.69535
2023-01-31,24.78,24.78,22.55,22.77,25.7,11506258,269036821.69,2,33.0768,1,-11.4008,0,23.38178
2023-02-01,22.51,23.88,22.51,23.62,22.77,8951631,208925262.81,2,25.7331,1,3.733,0,23.33935
