Alpha,IC_Mean_5D,IC_Std_5D,IC_IR_5D,IC_Winrate_5D,IC_Skew_5D,IC_MaxDD_5D,IC_tStat_5D,LS_Sharpe_5D,LS_AnnRet_5D,LS_MaxDD_5D,LS_Calmar_5D,LS_MeanRet_5D,Monotonicity_5D,Q_Spread_5D
alpha120,0.0782038554600129,0.1406673324033808,0.5559489479458797,0.7218788627935723,-0.0768158330669905,-3.246025670879874,27.388597952735925,36.72948804190103,12.362936973571776,-0.4131935388583062,29.92045085635117,0.0105611206963658,1.0,0.0101120305577464
alpha042,0.0531912122079946,0.1193231394584334,0.4457744947829166,0.6832092638544252,0.0172654991073429,-2.7655528444178685,21.92014207711931,5.93464272794494,1.7083070278167725,-0.5056736571433289,3.3782796546440768,0.0041243028827011,1.0,0.0040041609327491
alpha150,0.0468505533899987,0.1453955573446999,0.3222282320423771,0.6048619695096827,0.0310397342544536,-4.625311576769953,15.874442300929934,7.12221890998079,2.408930778503418,-0.6420019816045842,3.752217045316075,0.0051044533029198,1.0,0.0048155038998015
alpha095,0.0450200751927441,0.147378671917478,0.3054721189097992,0.5975913621262459,0.0752846730851056,-4.218341200354956,14.989937383405971,2.945640288181996,0.9745135307312012,-0.6761671739582129,1.4412316484198715,0.0029196585528552,1.0,0.0028429583720778
alpha070,0.0432407454767236,0.1408956971173339,0.3068989781903275,0.5986787778695293,0.0347159911214876,-4.339521579631544,15.103670824543116,3.63191206565328,1.1876378059387207,-0.6528435229536409,1.819176822901644,0.003322759643197,1.0,0.0031581847074091
alpha041,0.0391952339224198,0.140821488732823,0.2783327621026923,0.6066859265373504,0.0663410967553158,-3.872992183250574,13.700645729741606,2.0981328761101894,0.7367407083511353,-0.5505273723440981,1.3382453722766896,0.0024336786009371,0.3999999999999999,0.0024325375786581
alpha132,0.0366926969619374,0.1556021088315375,0.2358110519033051,0.5714285714285714,0.0840149104689203,-5.417256888752778,11.571572930979686,2.55142643374714,0.8836090564727783,-0.793570748616172,1.1134597110763156,0.0027525816112756,1.0,0.0027531466362837
alpha170,0.0343097815845765,0.1314079816131831,0.2610935893191929,0.6100498338870431,0.0227955412148989,-4.303389068911343,12.812221845552752,7.523034975560218,2.3234856128692627,-0.4072184014144655,5.705748082106994,0.0049637616612017,0.8999999999999998,0.0049576451469617
alpha159,0.0334614397940726,0.2210780197955254,0.1513557965872005,0.5553244592346089,-0.0026435659575605,-9.327668672051637,7.421065927072244,-1.049465742219165,-0.5409420132637024,-0.9996867663964109,-0.5411115075711624,-0.0025556911714375,-1.0,-0.002629019069383
alpha158,0.0308891030966269,0.1839151863563236,0.1679529771771065,0.5735475896168108,-0.0842560088099735,-7.071348515542471,8.27413485332578,-0.2507112233315979,-0.1090918183326721,-0.9784142580063308,-0.1114985983084132,-8.177378913387656e-05,-0.6,-0.000312806319039
alpha016,0.0300437313061675,0.0942085922648655,0.318906488080198,0.6194799834915394,0.0424745108656712,-2.632787143192047,15.69784592045549,2.1456652454577454,0.4703137874603271,-0.6212366069851109,0.7570606467361624,0.0016259793192148,0.8999999999999998,0.0015420819758449
alpha100,0.0294315600495864,0.1584684205417953,0.1857250797916797,0.5872093023255814,-0.1418669315174079,-6.861594427959716,9.1137853318372,2.703249218908611,0.990998148918152,-0.7201304688616319,1.3761369526340168,0.0030029751360416,1.0,0.0028513956403251
alpha097,0.0292986092632275,0.1559119236031678,0.1879176947223058,0.5930521091811415,-0.0957017081948397,-7.351500780026868,9.2405075106947,2.9045242254705963,1.0475003719329834,-0.7115508151493435,1.4721371258820486,0.0031058501917868,1.0,0.0028554642150768
alpha088,0.0280790285359265,0.1806144681571048,0.1554638940192901,0.5450768591607811,0.2808865823432109,-8.148959691506832,7.627243065560718,-0.0146726554059299,-0.0062590241432189,-0.9471769093861075,-0.0066080835387717,0.0003342792333569,0.0999999999999999,0.0002653244387731
