Alpha,IC_Mean_1D,IC_Std_1D,IC_IR_1D,IC_Winrate_1D,IC_Skew_1D,IC_MaxDD_1D,IC_tStat_1D,LS_Sharpe_1D,LS_AnnRet_1D,LS_MaxDD_1D,LS_Calmar_1D,LS_MeanRet_1D,Monotonicity_1D,Q_Spread_1D
alpha120,0.0559358363035632,0.1354341736867272,0.41301124214741,0.6782035434693037,-0.2221814173880011,-2.72997729176339,20.346830231319466,5.560389287249728,0.7475380897521973,-0.1413331199674072,5.289192582209934,0.0022533456794917,1.0,0.0021602080334468
alpha185,0.0424313190115559,0.1392964776174573,0.3046115719313657,0.65389369592089,-0.281264748760709,-3.4399600634641923,15.006564732615043,2.852340826499295,0.3830920457839966,-0.2456440753679084,1.559541158117607,0.0013237160164862,1.0,0.0013465389648634
alpha171,0.0414074381459337,0.1410769137228093,0.2935096682600522,0.6411207251751133,-0.2855172360971774,-3.4608976901357886,14.459633980633104,2.6804005733256613,0.3624211549758911,-0.2440701570049042,1.484905649356422,0.0012653851881623,0.8999999999999998,0.0012649592019015
alpha111,0.0394376614194762,0.1638894391784754,0.2406357701702098,0.6265457543281121,-0.1672801524775373,-3.3109145024872504,11.854822977163773,2.5096054665946825,0.4021559953689575,-0.1860504504468833,2.1615427127588256,0.0013936231844127,1.0,0.0013202853666353
alpha114,0.0389106157865273,0.1478159223842555,0.2632369717612495,0.6274266831887649,-0.1375997531622136,-3.364604806248323,12.952222036941055,2.1940932699270737,0.323615550994873,-0.2269004257695013,1.4262447939327385,0.0011564351152628,1.0,0.0011146577296385
alpha163,0.0386240024854443,0.1443375671312352,0.2675949390938984,0.6254152823920266,-0.1738261947856499,-1.6221205354241022,13.131252028661647,1.7345331166606108,0.249269962310791,-0.1043469623569599,2.388856912365735,0.0009245112887583,0.7,0.0009440283895936
alpha158,0.0375310029798968,0.1922928808547367,0.1951762478832943,0.5892047795632468,-0.1993212155629976,-2.142390243499378,9.615278170684578,0.0526001670367263,0.0107239484786987,-0.5186456599646473,0.0206768306504863,0.0001248737389687,0.0999999999999999,5.034172982147992e-05
alpha150,0.0356430228094857,0.1425495833647699,0.250039473761764,0.6015657189946436,-0.0958542411129743,-2.3535711787827154,12.318092595511624,2.0631494820249467,0.3063268661499023,-0.2224707437976165,1.376931010886404,0.0011046401923522,1.0,0.0010396388269374
alpha046,0.0347264947632439,0.1919764531745316,0.1808893444430556,0.5694675540765392,-0.0077401500373133,-5.205720682301163,8.869113577975217,-0.3693953359683044,-0.072496473789215,-0.6140449421903362,-0.1180637911137508,-0.000221812952077,-0.8999999999999998,-0.0002186130749685
alpha065,0.0340243085356411,0.1794314166211785,0.1896229165234444,0.588356729975227,-0.0855730591782529,-4.697891559745045,9.3320679294793,-0.5397885826325425,-0.0996877551078796,-0.6835910682924883,-0.1458295166975853,-0.0003483977634459,-0.1999999999999999,-0.000313071174348
alpha159,0.0324641109500151,0.2271275275738471,0.1429334052846586,0.5653078202995009,-0.1161692985812634,-3.107326080522416,7.008111005430026,-0.6678705565690555,-0.1566436290740966,-0.8252479503600887,-0.1898140177212761,-0.0005665872595272,-1.0,-0.0005749056857177
alpha034,0.0324260859228492,0.1878054102443436,0.1726578903166923,0.5604304635761589,0.0301802173843758,-4.84411800555133,8.486622706712257,-0.3482909302251711,-0.0661249756813049,-0.6157577771304391,-0.107387966725262,-0.0001997011131606,-0.7,-0.0002036621105399
alpha017,0.0323559879732683,0.1974188771270559,0.1638951069124181,0.5926544240400667,-0.2948083487216753,-4.217833136567915,8.065904158935652,0.238162629729959,0.1004575490951538,-0.2675717434919783,0.3754415461966203,0.0037681562826037,0.4999999999999999,0.0011187522301483
alpha170,0.0315389506115475,0.1401242567071051,0.2250784507458398,0.5913621262458472,-0.0468355875360865,-3.84919173060495,11.044909417839287,2.15593070939901,0.3020910024642944,-0.2004855512923091,1.5067968764683892,0.0010869494872167,1.0,0.0010652745972238
alpha070,0.03129015914093,0.1393822278898851,0.224491741986288,0.5920726672171759,-0.0904231019016617,-2.1885028022293653,11.048096001435374,1.2868378180830151,0.1839723587036132,-0.2221714555057161,0.8280647857522813,0.0007108434219844,1.0,0.0006643297170493
alpha041,0.030170128875577,0.1490270775379491,0.2024472959814593,0.5848122162608337,-0.0255938371521849,-2.716992933393165,9.965261222689836,0.6255448941347702,0.0971239805221557,-0.1786652698641616,0.5436086184852752,0.000415610615164,0.7,0.0004240160801999
alpha054,0.0299367354486577,0.1284807832576956,0.2330055490758739,0.6124896608767576,-0.0421435790531346,-1.837949276791349,11.45761994074518,1.0100126227478925,0.1365655660629272,-0.1301811679461297,1.0490424092633694,0.0005443500122055,0.7,0.0005222342701134
alpha048,0.0297362920097931,0.1367479284928426,0.2174533269902479,0.604235880398671,-0.1342786275728167,-3.867764475563412,10.670734098517284,0.0872356836390115,0.0120331048965454,-0.2786833665435027,0.0431784108459413,8.526456804247573e-05,0.4999999999999999,8.399252421140558e-05
alpha026,0.0290419674115202,0.1676104075496644,0.1732706687853789,0.5732484076433121,0.0616108633107589,-4.044868546236067,8.123419772830209,0.1714844551695759,0.0288798809051513,-0.3593285330925115,0.0803717997471579,0.0001693703670753,0.8999999999999998,0.0001420416877722
alpha042,0.0285397909212421,0.123948466685659,0.230255296288746,0.6025641025641025,-0.0307930996987743,-0.995078430142602,11.322381311017844,1.3549621755948538,0.1761953830718994,-0.1477905072789995,1.1921968894746202,0.0006776556838303,0.8999999999999998,0.0006800928152226
alpha071,0.0284880560385523,0.1967589371915203,0.1447865923915965,0.5640599001663894,0.0363589260559674,-5.4365421909898615,7.098973886177792,-0.4161653177279352,-0.0838279724121093,-0.6752166632147235,-0.1241497388601197,-0.0002667646622285,-0.8999999999999998,-0.0002639920050024
alpha095,0.0276296763317004,0.1441340727947135,0.1916942732274879,0.5793189368770764,-0.0447004294559684,-2.2880126219339054,9.406701870837686,1.084596635066145,0.158348798751831,-0.2143739881326515,0.7386567751580341,0.0006256899796426,1.0,0.0006014491833797
alpha098,0.0263563999405839,0.1438238114999455,0.1832547730845938,0.5731597845601436,-0.028589845762589,-1.8948727839135628,8.649935885326617,0.3637381486031575,0.0539257526397705,-0.2548438675072653,0.2116031010172656,0.0002522335562389,0.0999999999999999,0.0002298815154749
alpha013,0.0258738396790448,0.1080045006329339,0.2395626064415605,0.6139266584260403,-0.003971524725996,-2.028589777284336,11.801954004194164,2.2958291189261075,0.2474938631057739,-0.1137382549847863,2.175994902848463,0.000900971062947,1.0,0.0008447078302138
alpha184,0.0258645365594667,0.12349596510531,0.209436288363033,0.5960502692998204,-0.1073984437201578,-2.96721223923344,9.885747781121855,0.9529406671476094,0.1238607168197631,-0.2490269613817411,0.4973787421752026,0.000496991793625,0.3,0.0004758803931107
alpha174,0.0258645365594667,0.12349596510531,0.209436288363033,0.5960502692998204,-0.1073984437201578,-2.96721223923344,9.885747781121855,0.9529406671476094,0.1238607168197631,-0.2490269613817411,0.4973787421752026,0.000496991793625,0.3,0.0004758803931107
alpha168,0.0252930086169644,0.1234035267394561,0.2049617971645651,0.5851328903654485,-0.1052176632183417,-2.1424511461153486,10.057757534311683,-0.0335117187590782,-0.0041985511779785,-0.359385439392159,-0.0116825856525508,1.4483798622677568e-05,-0.3,-3.952526276443965e-06
alpha025,0.024404630597427,0.1580929319222701,0.1543688911369304,0.5743801652892562,0.0388895071870688,-4.687657298247032,7.204249121993313,0.3273119874675296,0.0514184236526489,-0.363623006290599,0.1414058592639117,0.0002478800306562,0.0999999999999999,0.0002492594959604
