Alpha,IC_Mean_20D,IC_Std_20D,IC_IR_20D,IC_Winrate_20D,IC_Skew_20D,IC_MaxDD_20D,IC_tStat_20D,LS_Sharpe_20D,LS_AnnRet_20D,LS_MaxDD_20D,LS_Calmar_20D,LS_MeanRet_20D,Monotonicity_20D,Q_Spread_20D
alpha120,0.1323057280183865,0.1451567474982923,0.9114679840835024,0.8240626287597858,-0.0909152281190499,-3.5584420030237425,44.90309812634796,10979.258028664866,7839.94287109375,-0.8178565986194746,9585.962727851576,0.0371935553848743,1.0,0.0357130905589394
alpha042,0.0831115133351176,0.122106832978006,0.6806458844943407,0.7679900744416873,0.0168665295179236,-4.977745188689283,33.46951130433822,64.44221279687876,37.79770278930664,-0.978807999031097,38.61605424835295,0.0153021328151226,0.8999999999999998,0.0144500369753265
alpha150,0.0680764259315211,0.1476873833106119,0.460949502966985,0.6522455706633704,0.0508273394529441,-7.529353651649771,22.70848907965772,62.63608871592602,45.60247802734375,-0.993263013003298,45.91178512673796,0.016409670934081,1.0,0.0157961113683322
alpha095,0.0674350279192102,0.1537564723294081,0.4385833448021446,0.6411960132890365,0.1172461191910122,-7.401458806791965,21.5218884769323,15.304808119513345,11.253146171569824,-0.9941333009377316,11.319554591879298,0.0110620455816388,1.0,0.0108724894220324
alpha070,0.0627280822826958,0.1457971543792989,0.4302421576727449,0.6379025598678778,0.096687850179261,-7.031444793676634,21.173859758830307,16.62298856340138,11.832621574401855,-0.9904526724988764,11.946680445163098,0.0111813563853502,1.0,0.0109090945437529
alpha041,0.0618044433447077,0.1395835097549193,0.442777541940477,0.6723070573669006,0.0369672238197737,-3.6829449995455263,21.79527193774649,22.462557447594552,15.210662841796877,-0.9522874968007486,15.972763364947834,0.0120132444426417,0.7,0.0117536874399975
alpha132,0.0588757676065572,0.1619883163352071,0.3634568772523316,0.6258305647840532,0.1297380028020948,-9.973989617995038,17.835329296253985,12.68181613298638,9.708351135253906,-0.9985982283115772,9.721979130354274,0.010608622804284,1.0,0.0106505799946707
alpha170,0.0484463482282954,0.1301102658932303,0.3723483915408406,0.6366279069767442,0.152327325453817,-4.0941769183260845,18.27164814232113,46.19481756826696,28.244457244873047,-0.7533353928702766,37.492539859648815,0.014210108667612,0.7,0.0143533930785935
alpha144,0.0457563459161055,0.143708573895888,0.3183967711575403,0.6464478604071459,-0.0389657226970346,-15.159632432452582,15.620923303303742,38.80291405692688,25.52709579467773,-0.9833602138242898,25.959048816305888,0.0139407040551304,1.0,0.0144479065782411
alpha100,0.0442274984481225,0.1582846138055664,0.2794175465623629,0.6175249169435216,-0.1695173684584398,-14.522544178273264,13.711403651969702,15.310606831619737,11.242156982421877,-0.9873662417536332,11.386005017201114,0.0110589573159813,1.0,0.0105868970854454
alpha097,0.0437600915106867,0.1556815378785228,0.2810872252869984,0.6174524400330852,-0.1996628009824337,-13.768154399689138,13.821948062225417,15.671857243868576,11.409390449523926,-0.9841628650378256,11.59299019993547,0.0110990237444639,1.0,0.0105242240268623
alpha081,0.040794259973783,0.1612253609180604,0.2530263213026137,0.6065100947672023,-0.1853123051985747,-14.15008388842061,12.46523842022216,37.8043467751382,28.69915580749512,-0.987281673892866,29.068863087809504,0.0146854277700185,1.0,0.0140037298874062
alpha094,0.0401397416906845,0.1335485578797516,0.3005628988283552,0.5967472894078398,0.2352930375673215,-8.373659129611362,14.718378261640977,2.3563985335614417,1.4409494400024414,-0.9953481945900016,1.4476837832573652,0.0042864624410867,0.7,0.0039976227080807
alpha135,0.0393218109686338,0.1815890061753876,0.2165429053048226,0.5594347464671654,0.3147844734116864,-16.54641583866494,10.62164472150501,0.132660910498176,0.1172221899032592,-0.9999967273865736,0.1172225735274272,0.0019822618924081,0.3,0.0020768766859561
alpha159,0.0392814559825566,0.2279296694019197,0.1723402490146628,0.5557404326123128,0.0131848988961856,-31.33581984442624,8.449946276679404,-0.9017164913967456,-1.0,-0.9999999999999568,-1.0000000000000433,-0.0086342059075832,-1.0,-0.0092729740642851
alpha122,0.0352715514937931,0.1683790458849326,0.2094770837334306,0.5432811211871393,0.3982954695636102,-10.665272764361408,10.31767675043934,-0.4019717818757908,-0.3222529292106628,-0.9999933454107336,-0.3222550736858172,-0.0002783008094411,0.0,-0.0001947295544609
alpha016,0.0350949483523973,0.1016063182644786,0.3454012403150566,0.6562113082955014,-0.2559920984801324,-5.588793272178208,17.002023018849492,2.6804219008158725,1.3166325092315674,-0.9774734301084936,1.346975241143311,0.0038206963799893,0.8999999999999998,0.0032581736376205
