         1522524 function calls (1487563 primitive calls) in 4.885 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      154    0.012    0.000   14.276    0.093 __init__.py:1(<module>)
   1557/1    0.042    0.000    4.893    4.893 {built-in method builtins.exec}
        1    0.000    0.000    4.893    4.893 ICtest.py:1(<module>)
   1560/3    0.027    0.000    4.893    1.631 <frozen importlib._bootstrap>:1349(_find_and_load)
   1530/3    0.019    0.000    4.893    1.631 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   1487/3    0.015    0.000    4.891    1.630 <frozen importlib._bootstrap>:911(_load_unlocked)
   3552/5    0.011    0.000    4.891    0.978 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   1301/3    0.007    0.000    4.891    1.630 <frozen importlib._bootstrap_external>:1017(exec_module)
   711/44    0.003    0.000    4.501    0.102 {built-in method builtins.__import__}
 1824/635    0.015    0.000    4.129    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    3.620    3.620 alpha001.py:1(<module>)
        1    0.000    0.000    3.607    3.607 operators.py:1(<module>)
     41/9    0.000    0.000    2.958    0.329 __init__.py:71(import_module)
     41/9    0.000    0.000    2.958    0.329 <frozen importlib._bootstrap>:1375(_gcd_import)
14450/9264    0.022    0.000    2.929    0.000 {built-in method builtins.hasattr}
     32/1    0.000    0.000    2.884    2.884 __init__.py:131(__getattr__)
        1    0.001    0.001    2.450    2.450 _stats_py.py:1(<module>)
      210    0.001    0.000    1.147    0.005 _docscrape.py:579(__init__)
      216    0.003    0.000    0.986    0.005 _docscrape.py:140(__init__)
      216    0.014    0.000    0.781    0.004 _docscrape.py:388(_parse)
        9    0.000    0.000    0.633    0.070 api.py:1(<module>)
  161/112    0.001    0.000    0.606    0.005 <frozen importlib._bootstrap_external>:1323(exec_module)
  161/112    0.029    0.000    0.605    0.005 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.543    0.543 distributions.py:1(<module>)
        4    0.000    0.000    0.430    0.108 _base.py:1(<module>)
     1216    0.019    0.000    0.427    0.000 _docscrape.py:201(_read_to_next_section)
        1    0.000    0.000    0.418    0.418 _sputils.py:1(<module>)
     1248    0.011    0.000    0.417    0.000 _docscrape.py:212(_read_sections)
        3    0.000    0.000    0.416    0.139 _util.py:1(<module>)
        1    0.000    0.000    0.413    0.413 _array_api.py:1(<module>)
       63    0.003    0.000    0.401    0.006 _axis_nan_policy.py:418(axis_nan_policy_decorator)
        1    0.001    0.001    0.400    0.400 _continuous_distns.py:1(<module>)
     1301    0.023    0.000    0.391    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
        3    0.000    0.000    0.389    0.130 generic.py:1(<module>)
       11    0.000    0.000    0.379    0.034 __init__.py:326(__getattr__)
     1517    0.034    0.000    0.377    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       64    0.001    0.000    0.366    0.006 _array_api.py:806(decorator)
      110    0.003    0.000    0.362    0.003 _distn_infrastructure.py:1863(__init__)
     2453    0.011    0.000    0.360    0.000 __init__.py:330(_compile)
      157    0.002    0.000    0.339    0.002 _compiler.py:743(compile)
2798/2775    0.037    0.000    0.339    0.000 {built-in method builtins.__build_class__}
      403    0.001    0.000    0.338    0.001 __init__.py:287(compile)
      430    0.044    0.000    0.318    0.001 doccer.py:29(docformat)
       68    0.001    0.000    0.316    0.005 _util.py:1202(decorator)
     4650    0.077    0.000    0.289    0.000 _docscrape.py:67(read_to_condition)
        1    0.000    0.000    0.272    0.272 special.py:1(<module>)
        3    0.000    0.000    0.269    0.090 context.py:1(<module>)
     1494    0.005    0.000    0.269    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
      131    0.002    0.000    0.268    0.002 _distn_infrastructure.py:830(_construct_doc)
     1494    0.012    0.000    0.264    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
        2    0.000    0.000    0.261    0.131 rules.py:1(<module>)
        1    0.000    0.000    0.257    0.257 f2py2e.py:1(<module>)
      321    0.124    0.000    0.246    0.001 inspect.py:891(cleandoc)
        1    0.000    0.000    0.243    0.243 rules.py:16(_init_casting_rules)
       46    0.001    0.000    0.243    0.005 castgraph.py:119(insert_rule)
183977/182309    0.236    0.000    0.240    0.000 {built-in method builtins.len}
       46    0.032    0.001    0.239    0.005 castgraph.py:92(propagate)
        1    0.000    0.000    0.235    0.235 crackfortran.py:1(<module>)
     3367    0.014    0.000    0.234    0.000 _docscrape.py:77(read_to_next_empty_line)
     1830    0.045    0.000    0.233    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
      439    0.115    0.000    0.228    0.001 doccer.py:225(indentcount_lines)
      445    0.020    0.000    0.226    0.001 _docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.210    0.210 frame.py:1(<module>)
1487/1474    0.011    0.000    0.206    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      157    0.002    0.000    0.196    0.001 _parser.py:970(parse)
        2    0.000    0.000    0.195    0.098 config.py:1(<module>)
  667/157    0.008    0.000    0.193    0.001 _parser.py:451(_parse_sub)
  510/423    0.003    0.000    0.192    0.000 typing.py:426(inner)
  884/161    0.048    0.000    0.190    0.001 _parser.py:511(_parse)
     3583    0.063    0.000    0.187    0.000 _docscrape.py:168(_is_at_section)
     2592    0.069    0.000    0.184    0.000 textwrap.py:419(dedent)
      210    0.001    0.000    0.182    0.001 inspect.py:872(getdoc)
        3    0.000    0.000    0.179    0.060 decorators.py:1(<module>)
        1    0.000    0.000    0.174    0.174 _geometric_slerp.py:1(<module>)
     1298    0.033    0.000    0.174    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
        1    0.000    0.000    0.173    0.173 distance.py:1(<module>)
       25    0.000    0.000    0.170    0.007 castgraph.py:131(unsafe)
       24    0.001    0.000    0.167    0.007 _util.py:277(decorator)
        1    0.000    0.000    0.167    0.167 _index_tricks_impl.py:1(<module>)
      702    0.002    0.000    0.164    0.000 inspect.py:3382(signature)
        1    0.000    0.000    0.164    0.164 stencil.py:1(<module>)
      702    0.002    0.000    0.162    0.000 inspect.py:3103(from_callable)
 1134/706    0.016    0.000    0.160    0.000 inspect.py:2496(_signature_from_callable)
        1    0.000    0.000    0.158    0.158 defmatrix.py:1(<module>)
        2    0.000    0.000    0.157    0.079 _linalg.py:1(<module>)
        3    0.001    0.000    0.156    0.052 _basic.py:1(<module>)
        1    0.000    0.000    0.153    0.153 __config__.py:1(<module>)
 8349/217    0.061    0.000    0.151    0.001 copy.py:119(deepcopy)
        2    0.001    0.000    0.151    0.075 _support_alternative_backends.py:1(<module>)
        1    0.000    0.000    0.151    0.151 _new_distributions.py:1(<module>)
        3    0.000    0.000    0.149    0.050 _distribution_infrastructure.py:1317(_combine_docs)
  442/217    0.014    0.000    0.147    0.001 copy.py:218(_deepcopy_dict)
      157    0.001    0.000    0.138    0.001 _compiler.py:576(_code)
     2926    0.044    0.000    0.137    0.000 <frozen importlib._bootstrap>:304(acquire)
     1298    0.136    0.000    0.136    0.000 {built-in method marshal.loads}
21435/21414    0.081    0.000    0.134    0.000 abstract.py:121(__hash__)
        6    0.001    0.000    0.132    0.022 _docscrape.py:626(__init__)
        3    0.000    0.000    0.128    0.043 registry.py:1(<module>)
        1    0.000    0.000    0.126    0.126 dispatcher.py:1(<module>)
      398    0.019    0.000    0.126    0.000 _util.py:511(getfullargspec_no_self)
 1580/157    0.043    0.000    0.122    0.001 _compiler.py:37(_compile)
        1    0.000    0.000    0.121    0.121 compiler.py:1(<module>)
    11645    0.066    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     1487    0.023    0.000    0.114    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.114    0.114 _morestats.py:1(<module>)
    29348    0.075    0.000    0.112    0.000 _docscrape.py:64(eof)
       23    0.000    0.000    0.112    0.005 _support_alternative_backends.py:46(wrapper)
       10    0.000    0.000    0.111    0.011 typeconv.py:103(safe_unsafe)
        2    0.000    0.000    0.110    0.055 builtins.py:1(<module>)
      705    0.022    0.000    0.108    0.000 inspect.py:2392(_signature_from_function)
        2    0.001    0.000    0.106    0.053 old_builtins.py:1(<module>)
      418    0.009    0.000    0.106    0.000 typing.py:1435(__init__)
     1560    0.007    0.000    0.105    0.000 <frozen importlib._bootstrap>:416(__enter__)
     2602    0.028    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
     1366    0.008    0.000    0.101    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     1283    0.004    0.000    0.095    0.000 _docscrape.py:85(read_to_next_unindented_line)
    70046    0.092    0.000    0.094    0.000 {built-in method builtins.isinstance}
    69101    0.090    0.000    0.090    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.089    0.009 base.py:1(<module>)
      131    0.003    0.000    0.087    0.001 _distn_infrastructure.py:749(_construct_argparser)
      216    0.005    0.000    0.087    0.000 _docscrape.py:366(_parse_summary)
  206/194    0.001    0.000    0.085    0.000 typing.py:574(__getitem__)
      193    0.003    0.000    0.084    0.000 typing.py:753(Union)
  161/157    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1315(create_module)
    57345    0.075    0.000    0.075    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.074    0.074 _discrete_distns.py:1(<module>)
  161/157    0.055    0.000    0.074    0.000 {built-in method _imp.create_dynamic}
     1304    0.011    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
     1857    0.010    0.000    0.073    0.000 _docscrape.py:573(dedent_lines)
     2763    0.006    0.000    0.072    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.071    0.071 _optimize.py:1(<module>)
