,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_024,alpha_026,alpha_027,alpha_028,alpha_029,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_048,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_058,alpha_059,alpha_060,alpha_061,alpha_062,alpha_063,alpha_064,alpha_065,alpha_066,alpha_067,alpha_068,alpha_069,alpha_070,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_076,alpha_077,alpha_078,alpha_079,alpha_080,alpha_081,alpha_082,alpha_083,alpha_084,alpha_085,alpha_086,alpha_087,alpha_088,alpha_089,alpha_090,alpha_091,alpha_092,alpha_093,alpha_094,alpha_095,alpha_096,alpha_097,alpha_098,alpha_099,alpha_100,alpha_101,alpha_102,alpha_103,alpha_104,alpha_105,alpha_106,alpha_107,alpha_108,alpha_109,alpha_110,alpha_111,alpha_112,alpha_113,alpha_114,alpha_115,alpha_116,alpha_118,alpha_119,alpha_120,alpha_121,alpha_122,alpha_123,alpha_124,alpha_125,alpha_126,alpha_127,alpha_128,alpha_129,alpha_130,alpha_131,alpha_132,alpha_133,alpha_134,alpha_135,alpha_137,alpha_138,alpha_139,alpha_140,alpha_141,alpha_142,alpha_144,alpha_145,alpha_146,alpha_147,alpha_148,alpha_150,alpha_151,alpha_152,alpha_153,alpha_154,alpha_155,alpha_156,alpha_157,alpha_158,alpha_159,alpha_160,alpha_161,alpha_162,alpha_163,alpha_164,alpha_165,alpha_166,alpha_167,alpha_168,alpha_169,alpha_170,alpha_171,alpha_172,alpha_173,alpha_174,alpha_175,alpha_176,alpha_177,alpha_178,alpha_179,alpha_180,alpha_181,alpha_182,alpha_183,alpha_184,alpha_185,alpha_186,alpha_187,alpha_188,alpha_189,alpha_190,alpha_191
alpha_001,1.00000,-0.02426,-0.14475,0.20250,0.40595,0.34992,0.06618,0.13129,-0.04259,0.00540,-0.19183,0.01423,0.02927,-0.13596,-0.01238,0.35986,0.00000,-0.34052,-0.36184,-0.38217,-0.14201,-0.24553,-0.14343,0.16528,-0.31933,-0.43279,-0.10732,-0.38030,0.06771,0.12048,0.40018,0.26990,-0.22059,0.20728,0.05553,0.10495,-0.22777,0.35619,0.27957,-0.20800,-0.26983,-0.13521,0.37238,0.38054,0.11642,0.40968,-0.40968,-0.40968,-0.25826,-0.24729,-0.00133,-0.09221,0.15868,-0.45081,-0.20179,0.01049,-0.12855,0.24851,0.24989,-0.44168,0.26285,0.29468,-0.28887,-0.24729,-0.04120,-0.28770,-0.09819,-0.33537,0.29380,0.18082,-0.18591,0.08650,0.05138,0.04202,-0.43816,-0.38895,-0.07814,-0.01152,0.23679,0.14610,0.14654,0.15060,0.22928,0.27256,-0.23202,-0.15306,0.22237,-0.11244,0.10508,0.04766,0.12420,-0.04330,-0.39061,-0.04287,0.10722,0.24898,-0.02573,0.07279,-0.09752,0.24349,0.05880,0.08382,-0.08582,-0.03831,-0.07344,-0.17969,-0.25884,0.01766,-0.40110,0.18264,0.01405,0.07092,-0.07163,-0.29750,0.02252,0.23488,0.21712,-0.12552,0.05837,-0.00788,0.16835,0.00042,0.17364,-0.34797,0.05706,0.12938,-0.04147,-0.01381,-0.28201,-0.08655,0.01154,-0.06478,0.23575,0.07517,0.02420,0.04694,0.15571,0.03822,-0.12304,-0.02837,-0.02076,0.15600,-0.06458,0.00812,0.04847,-0.00685,0.06980,-0.07301,0.11746,0.12615,0.09068,0.09312,0.00574,-0.00803,-0.33499,0.01182,0.00688,-0.01255,0.15932,0.05706,0.11772,-0.03037,0.35838,0.02104,-0.08794,0.00166,0.10132,-0.00703,-0.46094,0.04404,-0.01950,-0.11837,0.31455,0.00565,-0.07458,0.04897,0.10132,0.01450,-0.04408,0.00244,0.03543,-0.01127,-0.04268,0.11244
alpha_002,-0.02426,1.00000,-0.00279,-0.14954,-0.01304,-0.20202,0.02390,-0.04547,0.01505,0.00057,-0.01133,-0.00612,0.13307,-0.00646,0.02340,-0.00854,0.00000,-0.00856,-0.00832,-0.00848,0.01505,0.06430,0.01544,0.02407,0.03852,0.04067,0.00224,-0.02194,-0.00097,-0.05044,0.02138,-0.14788,-0.00094,0.02033,-0.04161,-0.07072,-0.00740,-0.07487,-0.02501,-0.00363,0.05950,-0.06124,0.04777,-0.04755,0.02307,-0.08690,0.08690,0.08690,0.04510,-0.00114,0.39419,0.01017,-0.14026,0.05119,-0.01337,0.00013,-0.00596,-0.06449,0.01424,-0.05632,-0.00962,0.06051,-0.06099,-0.01668,0.01218,0.07418,0.01080,-0.01054,-0.03681,-0.00555,0.00241,0.00680,0.00080,0.01186,0.09588,-0.02958,-0.00592,0.00189,-0.03076,0.02413,0.00387,0.07037,0.09398,-0.01724,-0.00855,0.01567,0.02589,-0.10970,-0.11151,-0.00709,0.00117,0.00362,0.05172,0.00417,-0.00219,0.01111,0.00192,-0.00348,-0.02436,-0.02689,0.01389,-0.01195,-0.00263,0.33901,-0.01270,0.01040,-0.01065,0.22154,0.00028,-0.04034,0.19016,0.01714,0.00673,-0.01118,-0.00231,0.22045,-0.07443,0.00958,0.00001,-0.10056,-0.03075,0.00175,-0.01434,0.04478,0.00097,-0.00762,0.01999,0.00196,0.03325,0.00653,-0.00657,-0.08251,-0.04636,-0.02252,0.04596,0.00098,0.37955,-0.01009,0.00780,-0.09696,0.00137,-0.10559,0.00455,0.00208,0.00208,-0.00111,-0.01127,0.01629,0.08136,-0.01143,0.01968,-0.00436,-0.00192,-0.00144,-0.07854,0.46840,-0.00029,-0.00194,0.01058,0.00097,0.00792,-0.00079,0.11274,0.18529,0.01119,0.00025,0.30957,0.00070,-0.00416,-0.01417,0.38894,-0.02511,0.01965,-0.01692,-0.00568,0.00038,0.30957,0.70440,0.00521,0.01111,-0.03208,-0.01006,0.00194,0.10970
alpha_003,-0.14475,-0.00279,1.00000,-0.10977,-0.09535,-0.21148,-0.16617,-0.82222,0.70321,0.12561,0.06866,-0.47161,-0.15685,0.87344,0.05864,-0.07555,-0.00000,0.42619,0.41854,0.46409,0.70099,0.29342,0.76533,-0.79936,0.31486,0.28223,0.07332,0.42470,-0.02906,-0.31012,-0.41478,-0.15161,0.06867,-0.16660,-0.51905,-0.12255,0.17986,-0.22210,-0.10814,0.08385,0.16908,0.13143,-0.39125,-0.22642,-0.17198,-0.19946,0.19946,0.19946,0.20265,0.20291,-0.09702,0.48131,-0.11115,0.26467,0.15713,0.05592,0.03525,-0.15721,-0.04592,0.28496,-0.06575,-0.37364,0.38069,0.16849,0.66342,0.12353,0.17144,0.36326,-0.18205,-0.01484,0.04888,-0.10959,0.01049,-0.04722,0.25216,0.24466,0.06156,-0.00345,-0.15528,-0.03670,-0.04401,-0.11498,-0.19399,-0.18597,0.26096,0.69259,-0.07203,0.12022,-0.14516,-0.01358,-0.03998,0.10187,0.20482,0.00080,-0.48207,-0.05510,-0.00347,-0.00092,0.08652,-0.07588,-0.01872,-0.01806,0.51281,0.06703,0.01465,0.15542,0.16410,-0.02124,0.22327,-0.04773,-0.21254,-0.01443,0.36949,0.18020,0.01050,-0.12810,-0.13020,0.08023,-0.01595,0.14167,-0.07922,0.11237,-0.07988,0.17614,-0.03676,-0.01974,0.06090,0.08282,0.11412,0.06045,-0.06866,0.48215,-0.11453,-0.03476,-0.04499,-0.02213,-0.10928,-0.01481,0.07093,0.05420,0.12254,-0.07764,0.20660,0.17253,-0.02199,-0.07889,-0.04559,0.02909,-0.07809,-0.05590,-0.15468,-0.06718,0.21050,-0.19148,0.23277,-0.07920,-0.00071,-0.00334,-0.00456,-0.03676,-0.09465,0.06719,-0.23934,-0.05464,0.08828,0.00368,-0.14697,0.00215,0.08461,-0.57973,-0.02243,0.05127,-0.22005,0.00368,0.01509,-0.01031,-0.14697,-0.06943,0.05816,0.20949,0.00392,0.02354,0.03618,-0.12022
alpha_004,0.20250,-0.14954,-0.10977,1.00000,0.10905,0.31951,0.05326,0.12815,-0.03404,0.00139,-0.15313,0.01359,-0.00024,-0.11319,-0.03224,0.08705,0.00000,-0.29758,-0.31033,-0.26875,-0.05273,-0.30531,-0.07015,0.16588,-0.13872,-0.36196,-0.08098,-0.26975,0.07036,0.08869,0.28118,0.17731,-0.09521,0.21596,0.06038,0.25825,-0.16461,0.21214,0.10193,-0.16576,-0.18201,-0.12919,0.27976,0.24988,0.15308,0.21193,-0.21193,-0.21193,-0.16397,-0.18983,-0.01576,-0.05455,0.15445,-0.30182,-0.16850,0.00842,-0.09277,0.11769,0.16252,-0.35034,0.10912,0.31939,-0.31209,-0.20774,-0.02634,-0.17636,-0.03394,-0.20534,0.20554,0.02699,-0.09124,0.11483,0.00041,0.03775,-0.35347,-0.29175,0.13303,-0.00673,0.18007,0.09428,0.10291,0.42608,0.09313,0.22218,-0.14049,-0.07072,0.10694,-0.18482,0.19051,0.01734,0.09825,-0.03851,-0.19789,-0.00653,0.12267,0.12953,-0.01923,0.05242,0.27891,0.16030,0.12544,0.06454,-0.05770,-0.11452,-0.08386,0.12492,-0.13667,0.08519,-0.22888,0.06801,0.03552,0.03964,-0.02703,-0.13950,0.01772,0.13563,0.11228,-0.05030,0.03822,-0.00750,0.05147,0.00104,-0.00417,-0.20525,0.02380,0.06516,-0.12977,-0.03287,-0.13590,-0.04873,0.04112,-0.06306,0.14047,0.08878,0.00986,0.02138,-0.06211,0.02128,0.10601,0.00333,-0.00414,0.11055,0.01974,-0.01832,0.01990,-0.00725,0.06778,0.08706,-0.12119,0.07177,-0.11661,0.03661,-0.01846,0.00412,-0.29084,0.01301,0.00230,-0.03265,0.01990,0.02380,-0.23120,-0.00314,0.42583,-0.00297,-0.02360,-0.00317,0.07047,-0.01986,-0.14324,0.03282,-0.05166,-0.06573,0.16539,0.01839,-0.02423,-0.01705,0.07047,0.03583,-0.03303,-0.01886,0.14231,0.06637,0.19859,0.18482
alpha_005,0.40595,-0.01304,-0.09535,0.10905,1.00000,0.20796,0.06037,0.08310,-0.02719,0.01620,-0.05503,0.00930,0.01042,-0.09197,-0.02314,0.57001,0.00000,-0.22076,-0.22998,-0.25605,-0.11967,-0.11598,-0.12183,0.08573,-0.29627,-0.21377,-0.08326,-0.27973,0.05887,0.07028,0.29222,0.21684,-0.32585,0.06242,0.02690,0.00939,-0.20339,0.19990,0.36964,-0.13243,-0.13091,-0.04457,0.27405,0.23960,0.03366,0.31606,-0.31606,-0.31606,-0.23650,-0.20462,-0.04397,-0.08678,0.08605,-0.26295,-0.19017,0.01858,-0.05439,0.12287,0.46295,-0.30583,0.32303,0.17000,-0.16856,-0.18305,-0.03159,-0.30692,-0.12625,-0.28539,0.20687,0.21570,-0.24726,0.07977,0.04677,-0.00086,-0.28390,-0.28788,-0.05476,-0.04903,0.17902,0.27775,0.13460,0.08554,0.14676,0.14204,-0.22912,-0.11119,0.29575,-0.03562,0.00938,0.04301,0.12012,-0.09604,-0.26084,-0.07501,0.03986,0.23785,-0.06390,0.11155,-0.06350,0.24702,0.09414,0.32843,-0.08840,-0.00404,-0.03982,-0.11731,-0.26999,-0.01017,-0.32033,0.09602,0.00411,0.15706,-0.08117,-0.23939,0.06499,0.17241,0.13287,-0.17517,0.09981,-0.01082,0.09990,0.01188,0.14263,-0.27820,0.03853,0.19042,-0.00280,-0.06222,-0.27198,-0.08946,0.07782,-0.02796,0.13617,0.30076,0.00297,0.05453,0.08842,0.07774,-0.10483,0.00296,-0.04854,0.11981,-0.08953,-0.02648,0.06039,-0.01478,0.06437,-0.03226,0.09801,0.07089,0.10700,0.10792,-0.01016,0.00507,-0.16535,-0.02007,-0.01044,-0.02080,0.11909,0.03853,0.08418,-0.03098,0.18908,0.00565,-0.11400,0.00145,0.03839,-0.01546,-0.44783,0.04001,0.00060,-0.10683,0.20954,0.01676,-0.11277,0.03062,0.03839,-0.02085,-0.09401,-0.02116,0.08096,-0.02556,-0.01360,0.03562
alpha_006,0.34992,-0.20202,-0.21148,0.31951,0.20796,1.00000,0.04932,0.24704,-0.06387,-0.00404,-0.26386,0.02887,0.01442,-0.23558,-0.13020,0.13140,0.00000,-0.58664,-0.61897,-0.52345,-0.15420,-0.46797,-0.17889,0.26554,-0.34763,-0.68436,-0.16075,-0.50337,0.11598,0.14318,0.52017,0.38489,-0.14997,0.41717,0.10777,0.33300,-0.26348,0.51901,0.19796,-0.31390,-0.39200,-0.19926,0.48809,0.51437,0.33446,0.44733,-0.44733,-0.44733,-0.30064,-0.35301,-0.02277,-0.10840,0.28988,-0.61535,-0.28082,0.00719,-0.15669,0.34822,0.10673,-0.58494,0.19615,0.49714,-0.49111,-0.28307,-0.05697,-0.30190,-0.09909,-0.40617,0.40104,0.04847,-0.12985,0.16547,0.01401,0.11181,-0.60756,-0.46350,-0.18735,-0.01231,0.33582,0.10923,0.17775,0.23228,0.23804,0.44152,-0.27087,-0.17312,0.16684,-0.20610,0.33106,0.03996,0.15053,-0.03035,-0.45164,-0.02624,0.16985,0.19063,-0.00618,0.03491,-0.16515,0.20959,0.07632,0.02677,-0.11032,-0.21914,-0.11245,-0.26291,-0.28019,0.00589,-0.44977,0.11747,-0.00357,0.02464,-0.07335,-0.27575,-0.00696,0.25428,0.32746,-0.10545,0.03449,-0.00654,0.23531,-0.00704,0.15603,-0.39122,0.04793,0.07497,-0.07375,-0.01771,-0.26798,-0.12489,0.02228,-0.07613,0.32737,0.05976,0.09603,0.03205,0.14399,0.02723,-0.12652,-0.04137,-0.01288,0.23801,-0.10730,-0.01866,0.01162,-0.00280,0.09665,-0.13193,0.09893,0.12219,0.13881,0.08049,-0.01517,0.01221,-0.53430,-0.02898,-0.00494,0.00632,0.02408,0.04793,0.20579,-0.00611,0.55276,-0.00145,-0.11287,-0.00576,0.08190,-0.01624,-0.20183,0.08050,-0.08605,-0.10733,0.41482,-0.00005,-0.02682,0.03179,0.08190,-0.06648,-0.06090,-0.02359,0.01321,-0.03514,-0.10428,0.20610
alpha_007,0.06618,0.02390,-0.16617,0.05326,0.06037,0.04932,1.00000,0.16075,-0.11747,-0.02596,-0.05350,0.04544,0.05801,-0.18488,-0.03994,0.06990,0.00000,-0.18668,-0.17661,-0.18439,-0.08731,-0.09593,-0.12069,0.14119,-0.12420,-0.06982,-0.11585,-0.20171,0.01313,0.04744,0.19145,0.05507,-0.03693,0.05775,0.23172,0.02810,-0.10653,0.07931,0.13354,-0.06504,-0.04902,-0.05672,0.21599,0.07178,0.05521,0.08986,-0.08986,-0.08986,-0.12216,-0.06092,0.07888,-0.09819,0.03374,-0.07558,-0.06750,-0.03631,-0.04339,0.05116,0.10420,-0.11073,0.06148,0.20103,-0.21625,-0.09204,-0.10076,-0.08477,-0.25461,-0.19857,0.06580,0.03428,-0.04708,0.03684,-0.01480,0.00733,-0.11094,-0.11500,-0.05956,-0.05196,0.06017,0.06923,0.08433,0.09389,0.08494,0.04572,-0.15557,-0.12301,0.08335,-0.05257,0.03216,-0.02188,0.07771,-0.16729,-0.06786,-0.08146,0.09218,0.08005,-0.06124,0.03086,-0.03155,0.05932,0.07513,0.07322,-0.11902,-0.03599,0.04247,-0.10095,-0.13045,0.08334,-0.10413,0.04327,0.10782,0.01672,-0.07497,-0.12953,0.00710,0.04584,0.03536,-0.07559,0.03614,-0.07431,0.02188,-0.04500,-0.00351,-0.08761,-0.01119,0.00922,-0.03673,-0.12248,-0.08214,-0.09293,0.08040,-0.21947,0.03281,0.08409,0.01121,0.03189,0.05698,0.05194,-0.07386,-0.10013,-0.03386,0.03731,-0.20465,-0.03715,0.01596,0.03868,0.01899,-0.04435,0.04380,0.00621,0.13423,0.09231,-0.05141,0.05981,-0.05589,0.04079,0.00144,0.00795,0.00882,-0.01119,0.07437,-0.00810,0.11311,0.02214,-0.05618,0.00236,0.07521,-0.00240,-0.09633,0.15009,0.03643,-0.07101,0.12376,0.00327,-0.04433,0.01559,0.07521,0.03955,-0.05888,-0.05945,-0.02011,-0.09018,0.00507,0.05257
alpha_008,0.13129,-0.04547,-0.82222,0.12815,0.08310,0.24704,0.16075,1.00000,-0.74355,-0.09514,-0.05445,0.45800,0.13608,-0.92838,-0.11195,0.07281,0.00000,-0.46378,-0.45570,-0.42363,-0.53590,-0.35584,-0.65188,0.87757,-0.27264,-0.26829,-0.07212,-0.42210,0.05077,0.33276,0.41152,0.15910,-0.05868,0.18840,0.64751,0.15654,-0.15688,0.20141,0.12177,-0.06568,-0.17661,-0.13922,0.40146,0.19509,0.18018,0.19330,-0.19330,-0.19330,-0.21150,-0.15309,0.06964,-0.43913,0.11419,-0.23468,-0.12063,-0.04994,-0.02918,0.15432,0.05444,-0.27748,0.07488,0.43498,-0.44098,-0.15760,-0.64874,-0.12252,-0.17819,-0.35319,0.15600,0.00704,-0.05522,0.08504,-0.01238,0.03469,-0.26149,-0.23246,-0.08193,0.00643,0.13287,0.04382,0.03572,0.11675,0.17243,0.18541,-0.24841,-0.63852,0.07288,-0.14531,0.18908,0.05007,0.03375,-0.09903,-0.16589,0.00034,0.63924,0.06986,0.00497,0.01010,-0.09098,0.06837,0.04955,0.02692,-0.46781,-0.10033,-0.02361,-0.15205,-0.17512,0.01420,-0.20644,0.06276,0.11063,-0.00105,-0.29637,-0.17943,-0.01476,0.10347,0.12965,-0.06664,0.02972,-0.09984,0.07406,-0.10709,0.06656,-0.16500,0.05680,0.02143,-0.07128,-0.07821,-0.10744,-0.06079,0.05999,-0.49307,0.10552,0.05056,0.04138,0.02929,0.09935,0.02457,-0.06408,-0.04883,-0.07645,0.07382,-0.20538,-0.12503,0.03170,0.06913,0.04400,-0.03062,0.02613,0.04863,0.14591,0.06161,-0.15455,0.14769,-0.23109,0.06495,0.00087,0.00165,0.00390,0.05680,0.10434,-0.06490,0.24197,0.03137,-0.06954,-0.00542,0.13574,-0.00220,-0.08197,0.57448,-0.01165,-0.04596,0.21288,-0.00344,-0.01363,0.01396,0.13574,0.01809,-0.05237,-0.17348,-0.01189,-0.02082,-0.04219,0.14531
alpha_009,-0.04259,0.01505,0.70321,-0.03404,-0.02719,-0.06387,-0.11747,-0.74355,1.00000,0.14182,0.00486,-0.62297,-0.07206,0.74979,0.03002,-0.02831,-0.00000,0.15376,0.14467,0.15207,0.52693,0.10066,0.61654,-0.69817,0.11815,0.08121,0.00535,0.15642,-0.01374,-0.26522,-0.14529,-0.05450,0.02285,-0.04911,-0.60040,-0.04649,0.06373,-0.06051,-0.03802,0.00348,0.05148,0.04626,-0.14602,-0.06588,-0.04693,-0.06414,0.06414,0.06414,0.08988,0.05441,-0.03237,0.46583,-0.03503,0.07632,0.04699,0.07413,0.00363,-0.04963,-0.02399,0.08442,-0.01866,-0.14185,0.14805,0.05038,0.91583,0.04280,0.08292,0.14969,-0.05336,-0.00630,0.01944,-0.04510,0.01720,-0.00684,0.07721,0.07191,0.01151,-0.00957,-0.04503,-0.01597,-0.00089,-0.03684,-0.06642,-0.05983,0.11878,0.58970,-0.02686,0.03682,-0.05476,-0.01013,-0.00080,0.05151,0.05919,-0.00756,-0.51662,-0.02255,-0.00811,-0.00235,0.01917,-0.01773,-0.01942,-0.01133,0.48010,0.03492,-0.00192,0.04980,0.06069,-0.00216,0.07041,-0.02392,-0.16162,-0.00621,0.36062,0.08029,0.00700,-0.03229,-0.03825,0.02789,-0.01592,0.10025,-0.02208,0.12336,-0.01899,0.05167,-0.00958,-0.00798,0.02716,0.03863,0.03391,0.00497,-0.03490,0.51612,-0.02430,-0.01140,-0.01704,0.00024,-0.03323,0.00608,0.02121,0.02788,0.16384,-0.03076,0.09717,0.16398,-0.02294,-0.09220,-0.01441,0.00115,-0.01281,-0.01486,-0.06274,-0.02960,0.18781,-0.18754,0.06740,-0.02599,-0.00039,-0.00583,-0.01430,-0.00958,-0.02334,0.11574,-0.07037,-0.01091,0.02563,0.00718,-0.04188,0.00100,0.03209,-0.59003,-0.00304,0.02167,-0.06909,-0.00082,0.00228,0.00155,-0.04188,-0.01151,0.02046,0.19426,0.00310,0.01170,0.00558,-0.03682
alpha_010,0.00540,0.00057,0.12561,0.00139,0.01620,-0.00404,-0.02596,-0.09514,0.14182,1.00000,0.00361,-0.13068,0.01832,0.10537,-0.00414,0.02789,-0.00000,0.01778,0.01433,0.01995,0.14596,-0.00788,0.17646,-0.07718,0.03252,0.00520,-0.00633,0.02175,0.00310,-0.12183,-0.01824,0.00143,0.00543,-0.00047,-0.14565,-0.02442,0.01718,-0.00467,0.01200,-0.00694,0.00504,0.00035,-0.02146,-0.00299,-0.00066,-0.00682,0.00682,0.00682,0.02266,0.01716,0.00242,0.13702,0.00183,0.00541,0.02220,0.87792,0.00446,-0.00580,0.01341,0.00547,0.00168,-0.00975,0.01216,0.01777,0.22410,0.01836,0.19122,0.03558,-0.00354,-0.00500,-0.01043,0.00370,-0.00458,0.00001,0.00893,0.01043,-0.00756,-0.06349,-0.00379,0.00112,0.01327,-0.00267,-0.04461,-0.00370,0.04464,0.01738,0.00434,-0.00122,-0.00582,0.64387,0.01560,0.20373,0.00469,-0.05045,-0.21538,0.00562,-0.05301,-0.00976,0.00107,-0.01626,0.00229,0.02313,0.23095,0.00287,0.00131,0.00317,0.02203,-0.00190,0.00536,0.00891,0.03431,-0.00693,0.21609,0.02834,-0.00183,-0.00274,0.00090,0.01210,-0.00674,0.04273,-0.00321,0.88137,0.02232,0.00199,0.61565,0.00162,0.00358,0.25891,0.01185,-0.00733,-0.06356,0.01228,-0.00321,0.02533,0.00723,-0.00087,0.00485,-0.09057,0.00392,-0.00325,0.21123,-0.00706,0.23180,0.34257,-0.00626,-0.88011,-0.02070,-0.00195,-0.00624,-0.00098,-0.04023,-0.00842,0.61823,-0.65136,-0.00185,0.00404,-0.00245,-0.02567,0.00009,0.61565,0.00381,0.04869,-0.00400,-0.01654,0.00592,0.00060,0.02641,0.00571,-0.00722,-0.40140,0.00010,0.00506,0.00096,0.00078,0.04052,0.00446,0.02641,0.00062,0.00863,0.62456,-0.02181,-0.00379,0.01079,0.00122
