,VIF
alpha_066,1146.0752663198473
alpha_072,403.07411060867537
alpha_028,42.780764458154295
alpha_014,40.23443190162825
alpha_096,28.020834421598888
alpha_009,26.261907168084484
alpha_031,26.150484415119312
alpha_059,19.698594111684745
alpha_008,15.352883918578625
alpha_022,15.193515521496781
alpha_089,12.71261544882586
alpha_188,10.91980054355389
alpha_161,10.022347808509357
alpha_079,8.744851195847398
alpha_003,8.208212321814555
alpha_021,6.573039343067865
alpha_153,6.397322125861859
alpha_060,6.034806870513294
alpha_118,5.405867145403189
alpha_071,5.2443470855662015
alpha_189,5.081829650381375
alpha_152,4.440400207553606
alpha_002,4.372360743967097
alpha_010,4.352959910548429
alpha_035,4.014511296086969
alpha_011,3.28591861724174
alpha_006,2.856407638088941
alpha_126,2.8018045241073666
alpha_137,2.6393288463000584
alpha_015,2.441444704174324
alpha_016,2.1487764403267255
alpha_005,2.0847481136460617
alpha_012,1.9363754117875263
alpha_004,1.855975566699193
alpha_116,1.8538624333129887
alpha_001,1.8031194241463309
alpha_107,1.7988278758051262
alpha_162,1.5013816905670792
alpha_051,1.4249368300834095
alpha_013,1.397177707728467
alpha_102,1.3287404885774439
alpha_007,1.2657016340575504
alpha_082,1.25235336251129
alpha_055,1.0482354936297749
alpha_094,0.8330779154798365
alpha_097,0.7274244794681503
alpha_187,0.6447206881600708
alpha_154,0.601987846783685
alpha_080,0.5904512044605286
alpha_167,0.5899792485125545
alpha_134,0.5410176374368424
alpha_108,0.49198912041400833
alpha_163,0.4909830431495752
alpha_158,0.45099723392038726
alpha_099,0.43781457736418594
alpha_081,0.3907365216750297
alpha_075,0.3769879848166502
alpha_110,0.3625650286187439
alpha_095,0.35163979824141883
alpha_146,0.2769525069104507
alpha_170,0.25420582355002536
alpha_078,0.23535590200538545
alpha_038,0.22677626819220575
alpha_062,0.2227926822390845
alpha_085,0.21185566162864056
alpha_112,0.20348839756695103
alpha_105,0.20347096297944298
alpha_156,0.1976848757646504
alpha_128,0.182422577859931
alpha_178,0.17483509040025363
alpha_046,0.16960732648855478
alpha_039,0.1563268868809985
alpha_076,0.12876855671600937
alpha_190,0.12839170907059214
alpha_139,0.11913791450364897
alpha_086,0.11723066824467336
alpha_113,0.1035206109561533
alpha_177,0.09692705708946565
alpha_131,0.0965548772447279
alpha_092,0.09204640917783545
alpha_144,0.08772604415112083
alpha_145,0.08277137440637918
alpha_130,0.07556868833834873
alpha_142,0.07371881059517857
alpha_121,0.07244274188056815
alpha_049,0.05505601721322416
alpha_045,0.05196328213307422
alpha_104,0.04865007048373562
alpha_091,0.04434159543071174
alpha_054,0.03963331582136249
alpha_074,0.03540808142448574
alpha_150,0.03513281381875001
alpha_037,0.0348770263227638
alpha_171,0.023183992221405304
alpha_183,0.022609459808538474
alpha_184,0.01944977707030449
alpha_125,0.013835717737172348
alpha_036,0.011954753149398303
alpha_174,0.006545738839421065
alpha_172,0.004169550693556134
alpha_175,0.0038927090151101916
alpha_176,-0.001182168503064709
alpha_185,-0.004643992832982969
alpha_186,-0.004816825532912525
alpha_182,-0.008056601244423442
alpha_157,-0.009434962471151656
alpha_070,-0.010713564055961916
alpha_173,-0.010899821016018848
alpha_180,-0.012418836822374362
alpha_106,-0.014743458136188162
alpha_115,-0.015072609132510675
alpha_164,-0.01602722137260712
alpha_141,-0.0170184946565503
alpha_044,-0.01963251902057052
alpha_119,-0.021090578971537672
alpha_191,-0.02601750675009727
alpha_165,-0.028885188840906538
alpha_114,-0.031876779020250025
alpha_077,-0.034976620309310986
alpha_179,-0.03501930566166951
alpha_155,-0.03759805527347362
alpha_103,-0.04220446360190188
alpha_061,-0.04514574511880726
alpha_111,-0.04989834239812156
alpha_043,-0.04997505053221739
alpha_124,-0.05055321497494451
alpha_087,-0.05102521677155701
alpha_100,-0.05942966392143327
alpha_181,-0.08158218745133616
alpha_098,-0.09177667947528494
alpha_140,-0.09304182983336247
alpha_101,-0.09818207005829342
alpha_123,-0.1061523271974968
alpha_084,-0.10746242415676481
alpha_088,-0.10763905345236706
alpha_033,-0.13739565433964326
alpha_138,-0.19083261617504782
alpha_132,-0.19129457501758482
alpha_041,-0.20842072896763178
alpha_166,-0.2140316952675512
alpha_042,-0.2153176516003089
alpha_064,-0.2159424101961854
alpha_052,-0.22710262660564942
alpha_122,-0.2293422479002697
alpha_120,-0.24586783603903115
alpha_129,-0.31426133397178957
alpha_040,-0.34083396706795993
alpha_133,-0.35256999391795846
alpha_063,-0.4488758274218773
alpha_053,-0.48876202755530507
alpha_032,-0.5370566508870067
alpha_109,-0.7005400719267659
alpha_068,-0.7114767981891295
alpha_026,-0.7325764300975506
alpha_024,-0.7805842688789627
alpha_069,-0.881546697731322
alpha_147,-0.8861873973868314
alpha_056,-1.0714085717985704
alpha_169,-1.1635530240843237
alpha_050,-1.424936830082036
alpha_027,-1.567139865607056
alpha_057,-1.8500151452328415
alpha_160,-1.9481935640331687
alpha_073,-2.025013436155045
alpha_065,-2.2087777668258806
alpha_093,-2.434205641283486
alpha_151,-2.4385577121818742
alpha_018,-2.456016746604804
alpha_083,-2.5087757991540682
alpha_090,-2.535446907443378
alpha_020,-2.601271023653552
alpha_168,-3.23369853188415
alpha_159,-4.415587482147073
alpha_135,-4.5308741285745
alpha_029,-4.6919477234556455
alpha_148,-4.749166055478293
alpha_127,-8.75873429672397
alpha_034,-10.454463429307154
alpha_048,-10.643275372466702
alpha_067,-13.112061252448596
alpha_058,-23.503725340397175
alpha_047,-96.79651202613927
alpha_019,-352.5483670868396
