Alpha,IC_Mean_10D,IC_Std_10D,IC_IR_10D,IC_Winrate_10D,IC_Skew_10D,IC_MaxDD_10D,IC_tStat_10D,LS_Sharpe_10D,LS_AnnRet_10D,LS_MaxDD_10D,LS_Calmar_10D,LS_MeanRet_10D,Monotonicity_10D,Q_Spread_10D
alpha120,0.0987116438168943,0.1420424126970008,0.6949448544461295,0.7626699629171817,-0.047777203254213,-3.465768888364579,34.23617454097692,244.69705041901375,116.3418426513672,-0.5815612131341514,200.050897521823,0.0195252951234579,1.0,0.0186807707685692
alpha042,0.0656781664282196,0.1218978989955461,0.5387965417732049,0.7266335814722912,-0.0621866162470891,-3.1006356886942967,26.49433039474517,12.71562874259388,5.172383785247803,-0.774519985588934,6.678179881071494,0.0075769866816699,0.8999999999999998,0.0072329062975879
alpha095,0.0548038666035505,0.147948255847381,0.3704259052576095,0.6200166112956811,0.1426888528196552,-5.272445075445617,18.17730909393616,5.709051042160748,2.708719491958618,-0.8943709395436144,3.0286309317483435,0.0056597585789859,1.0,0.0055338200740028
alpha150,0.0545395248014567,0.1437609360891602,0.379376528041188,0.6242274412855378,0.0787011542773318,-5.270504594297165,18.689829772348894,16.328492547627295,7.893514633178711,-0.8834197792539639,8.935179875466087,0.0091714151203632,1.0,0.0086912509051491
alpha070,0.0505846466745928,0.1406866533774328,0.359555405294096,0.6251032204789431,0.1070593775426697,-5.151897884436011,17.69509470761206,6.813733299335016,3.1737136840820312,-0.8735691998860525,3.6330421041584415,0.0061155385337769,1.0,0.0058224219466801
alpha132,0.046070310174987,0.1563358931525426,0.29468799036466,0.595514950166113,0.1719051646856158,-6.994205469759024,14.460745350420565,5.105740228759003,2.537989616394043,-0.9558382240121128,2.6552501800366173,0.0055142273195087,1.0,0.0055281218881111
alpha041,0.0449166838001225,0.1392692198708034,0.3225169484096388,0.6248452331820058,0.1441994851161979,-3.713877356318463,15.87556713990972,4.206725785769878,2.0173444747924805,-0.691092191274481,2.919067094467071,0.0048426832072436,0.3999999999999999,0.0048847548030873
alpha170,0.0384961764414098,0.130115861964706,0.2958607494899583,0.6162790697674418,0.1175259342790899,-4.681705432172791,14.518294255102203,14.034941337391638,5.885898590087891,-0.543151879170325,10.83656121944881,0.0080288685858249,0.7,0.0081280157874739
alpha100,0.0365668575466147,0.1606647756232215,0.2275972278601284,0.5930232558139535,-0.1339380776652246,-10.806755619276544,11.168509278149587,4.903491654202607,2.555665969848633,-0.906623547726911,2.818883290927315,0.0055863736197352,1.0,0.0053203964603803
alpha097,0.036176792776534,0.158675829005629,0.2279918309123861,0.5926385442514475,-0.1045410963872431,-10.321487857539507,11.211079558187388,5.495777773637563,2.834595203399658,-0.8953072592448033,3.166058550436255,0.0058763041161,1.0,0.0054533675878732
alpha159,0.0356874601866691,0.2186758927883196,0.1631979626634699,0.5540765391014975,0.0599052852805286,-17.853189649585566,8.001694466929338,-1.0244217276502343,-0.7412834167480469,-0.9999996235209144,-0.7412836958258548,-0.0043032034300267,-1.0,-0.004566200684767
alpha135,0.0349562394575283,0.1865930975100686,0.1873394028181673,0.5648379052369077,0.3002238382221703,-9.721126195576293,9.189183899940833,0.3125874837453122,0.1967320442199707,-0.9984387095687788,0.1970396803875306,0.0014905609423294,0.7999999999999999,0.0015146902140758
alpha144,0.0334254090216883,0.1424031370849027,0.234723824951691,0.5886996260905691,0.0245360265968575,-10.883563940137345,11.51582930222069,10.163983146994491,4.489235877990723,-0.8992864274597334,4.991997811722487,0.0071644452400505,1.0,0.0073945777864938
alpha081,0.032745747999864,0.1629951095379092,0.2009001870835154,0.5838483724763082,-0.1381907135550316,-10.960811898034391,9.897265698568209,11.011236299997872,5.873489856719971,-0.9136975941434607,6.428264553138099,0.008242174051702,1.0,0.007773572917043
alpha016,0.0311252119832941,0.0997003780092017,0.3121875022421823,0.6281469252992159,-0.1661515381228434,-4.361343422795343,15.367110710075044,1.6225096564834225,0.5391689538955688,-0.8765507443805588,0.6151029559350714,0.0019325291505083,0.7999999999999999,0.0016897010236478
alpha094,0.0300882229346827,0.1364338929587111,0.2205333460930291,0.573394495412844,0.2056353193070248,-6.946600434104958,10.799380827625845,0.7914398918277383,0.341715931892395,-0.9568594065152104,0.3571224043633447,0.0015358901582658,0.3,0.0013997825024819
alpha062,0.0300071765240316,0.1013780731928517,0.295992768248307,0.6318613289310772,-0.0630352861879154,-3.817073455410963,14.569941481913448,2.116934292697309,0.6963549852371216,-0.7316217126048309,0.9517964998029552,0.0023141014389693,1.0,0.0020731288924461
alpha151,0.0289510678546304,0.1826385543512911,0.1585156428633646,0.5592023265475696,0.1872920409064156,-9.473945055246276,7.776965484104489,0.3852053011349848,0.2309545278549194,-0.98771092223392,0.233828059056557,0.0015320017701014,0.7,0.0015663913574748
alpha088,0.0281453104363979,0.1772214171952968,0.1588143853142872,0.542584129621936,0.3803333466776464,-8.995502467675827,7.791622143141379,0.0416578164377947,0.0247398614883422,-0.9955610086377854,0.0248501711835757,0.0007904139347374,0.3,0.0006317235181728
alpha158,0.0280740252647701,0.1812996614512218,0.1548487462141419,0.5558302430984755,-0.0311194262619482,-11.55591885710976,7.628560264776746,-0.5316280681600747,-0.323600709438324,-0.9996655149411288,-0.3237089852573149,-0.0008104858570732,-0.7,-0.0011881972368126
alpha139,0.028026171568352,0.1067206746418856,0.2626123912952885,0.6046319272125724,-0.0357320086436199,-4.683945139284646,12.913482031330837,2.020113753979972,0.6963319778442383,-0.8087816143432576,0.8609641533576031,0.0023352331481873,1.0,0.0022610982405048
