,IC
alpha_001,0.00022637803109976738
alpha_002,0.002842107093583459
alpha_003,0.017894452202262493
alpha_004,0.013770507085820474
alpha_005,-0.011863882623409679
alpha_006,-0.02245240402194736
alpha_007,-0.0061382255348281616
alpha_008,-0.016991533985477265
alpha_009,0.0018599467008095151
alpha_010,-0.001864252845290958
alpha_011,0.01506321100606244
alpha_012,0.0009569305077929971
alpha_013,-0.010197022318531174
alpha_014,0.01623474774584031
alpha_015,-0.007652399527840344
alpha_016,-0.005213310890315778
alpha_017,0.0
alpha_018,0.01632822135266542
alpha_019,0.01522613798856464
alpha_020,0.024048484061287765
alpha_021,0.03896742484931767
alpha_022,-0.007866055312182891
alpha_023,
alpha_024,0.0403952713296379
alpha_025,
alpha_026,-0.009936463173422436
alpha_027,0.06483113251896022
alpha_028,0.03248353336219284
alpha_029,-0.012538668137850787
alpha_030,
alpha_031,0.0352905918269846
alpha_032,0.008946059404435377
alpha_033,
alpha_034,-0.030084554572052342
alpha_035,-0.007390037431514089
alpha_036,-0.003989508219742885
alpha_037,0.01753483167047097
alpha_038,-0.01527948511203262
alpha_039,-0.04128689785435962
alpha_040,0.0656149012444806
alpha_041,-0.022076946661827187
alpha_042,-0.0066900065228445195
alpha_043,0.008539157610313531
alpha_044,-0.0049012366098151
alpha_045,0.0007002988488741102
alpha_046,-0.04320858605074592
alpha_047,-0.056904204745967676
alpha_048,-0.02708621385955165
alpha_049,-0.06023860001984117
alpha_050,0.0602385999703415
alpha_051,0.060238599726663754
alpha_052,0.11298913248104735
alpha_053,0.04051535937475106
alpha_054,-0.003374398409878729
alpha_055,0.05762065278528863
alpha_056,0.0242858892350583
alpha_057,0.05422168571289891
alpha_058,0.042086650412146806
alpha_059,0.014495424695442573
alpha_060,0.016790778787537926
alpha_061,-0.01717024017601685
alpha_062,0.008367488899278054
alpha_063,0.028572913373131652
alpha_064,0.0077131659617811965
alpha_065,-0.0029458900313557236
alpha_066,0.007548482047043
alpha_067,0.03420658160268645
alpha_068,0.00362090861654989
alpha_069,0.0594734380353595
alpha_070,0.05560304232165496
alpha_071,0.08104134561898453
alpha_072,-0.04706534229275286
alpha_073,-0.0009185268508952231
alpha_074,0.020471221760008613
alpha_075,-0.001970466290125552
alpha_076,0.03572743109254482
alpha_077,-0.028548884895523253
alpha_078,0.03177622129456782
alpha_079,0.033614786205565406
alpha_080,0.016848615074515468
alpha_081,-0.024865111402498478
alpha_082,-0.033970501128356465
alpha_083,0.0037726906886946044
alpha_084,-0.023751859084603606
alpha_085,0.024733182328505895
alpha_086,-0.021639631533042974
alpha_087,-0.007573188946173172
alpha_088,0.08756543581621413
alpha_089,0.029887207095965852
alpha_090,-0.010435103501248578
alpha_091,0.0004433736230023269
alpha_092,-0.018055605988343576
alpha_093,0.004790877355167795
alpha_094,-0.02210652127755404
alpha_095,0.051668632172047035
alpha_096,0.06391840768021878
alpha_097,-0.02100757718427973
alpha_098,0.0672790143119848
alpha_099,0.006198048482712991
alpha_100,-0.025768579167956975
alpha_101,-0.010269069258086868
alpha_102,0.004381188258314158
alpha_103,-0.052451573566852476
alpha_104,0.010131025394741316
alpha_105,-0.0010060857145717994
alpha_106,0.055612699645200554
alpha_107,-0.0009612784326559066
alpha_108,0.013934098914785106
alpha_109,0.06594982798179409
alpha_110,0.10007779181945164
alpha_111,0.006955367081988538
alpha_112,0.057282201122023715
alpha_113,-0.0031744286411096775
alpha_114,0.005033485923750288
alpha_115,0.0012849782752308693
alpha_116,0.054738397381772885
alpha_117,
alpha_118,0.09203355151178122
alpha_119,-0.030466258768173878
alpha_120,-0.04057492567274063
alpha_121,-0.005914359183488858
alpha_122,0.052499250447771366
alpha_123,-0.0459038777169621
alpha_124,-0.017549866990326634
alpha_125,0.014897810446383206
alpha_126,0.02162977814030391
alpha_127,-0.014085312199565736
alpha_128,0.06506823006287385
alpha_129,0.018529999383803345
alpha_130,0.003480116243240876
alpha_131,-0.020176690591390836
alpha_132,0.05241991670108399
alpha_133,0.06425957045653526
alpha_134,-0.007245472073841694
alpha_135,-0.02911030973780026
alpha_136,
alpha_137,0.0044613323481712715
alpha_138,-0.011893167583914054
alpha_139,0.024801495557481845
alpha_140,0.016044859108457737
alpha_141,-0.0003562495586350668
alpha_142,0.008980654399057705
alpha_144,-0.023192166413202115
alpha_145,0.08008283444379927
alpha_146,-0.006892383630305961
alpha_147,0.05350925441395556
alpha_148,-0.07257418076963987
alpha_149,
alpha_150,0.06327380883942088
alpha_151,0.022354725006644007
alpha_152,-0.083930029453868
alpha_153,-0.016040893309446275
alpha_154,-0.036511099658081816
alpha_155,0.015140441714906631
alpha_156,-0.026963561604590958
alpha_157,-0.0005640210490358244
alpha_158,-0.07631367997874322
alpha_159,-0.08196135884831418
alpha_160,0.047940386806636655
alpha_161,-0.037194015528568894
alpha_162,0.005951662534542738
alpha_163,0.01235035155118748
alpha_164,-0.008489070913792245
alpha_165,-0.004145915785271373
alpha_166,0.00028918693182914003
alpha_167,0.018529999383803345
alpha_168,-0.03684827192644384
alpha_169,0.029190496574388738
alpha_170,0.00038796600368008765
alpha_171,0.006616820822593684
alpha_172,0.0745718636120566
alpha_173,-0.0059236609958392555
alpha_174,0.035075523295802324
alpha_175,0.015656116588152268
alpha_176,0.021425575078438387
alpha_177,-0.07107080018148164
alpha_178,-0.007539719663602909
alpha_179,-0.01595369823373299
alpha_180,-0.0672751784875212
alpha_181,0.07693409671597227
alpha_182,0.03227710959678867
alpha_183,0.019735518294583133
alpha_184,0.035075523295802324
alpha_185,-0.0021320801664224363
alpha_186,0.07400885976786627
alpha_187,0.03965803681887875
alpha_188,0.0055706468668528285
alpha_189,0.0196023117617444
alpha_190,-0.0055453186232272255
alpha_191,-0.0004433736230023269
