Alpha    ,IC_Mean_5D              ,IC_Std_5D            ,IC_IR_5D               ,IC_Winrate_5D       ,IC_Mean_10D             ,IC_Std_10D          ,IC_IR_10D              ,IC_Winrate_10D      ,IC_Mean_20D             ,IC_Std_20D          ,IC_IR_20D               ,IC_Winrate_20D      ,IC_Mean_60D             ,IC_Std_60D           ,IC_IR_60D               ,IC_Winrate_60D
alpha001 ,0.017509984162729017    ,0.09520890342053054  ,0.18391120508329709    ,0.5695086098278035  ,0.014536118748214642    ,0.09464110099808398 ,0.1535920292020792     ,0.5556488870222596  ,0.014285817079546318    ,0.09566934561054109 ,0.14932491686210791     ,0.5443091138177236  ,0.01924571362960737     ,0.09426369565593751  ,0.2041688849104137      ,0.5926081478370433
alpha002 ,0.009339610076861645    ,0.13174318950499225  ,0.07089254565609049    ,0.5377200335289187  ,0.00524201146316631     ,0.12232949968442378 ,0.04285157281513656    ,0.5209555741827326  ,0.004009110067400519    ,0.11915490108603027 ,0.033646203646343735    ,0.5180217937971501  ,0.0024498406141922166   ,0.1086315598198723   ,0.022551831330180898    ,0.5188600167644594
alpha003 ,-0.02499361701111719    ,0.15263188223163926  ,-0.1637509584870744    ,0.43912678421494544 ,-0.016471385964517943   ,0.15136961554468464 ,-0.10881566888604241   ,0.4706129303106633  ,-0.018716615203909933   ,0.14959473470932322 ,-0.1251154677353992     ,0.4651553316540722  ,-0.01603597719269414    ,0.1379803767446377   ,-0.11621925936883153    ,0.4638958858102435
alpha004 ,0.007019046288776038    ,0.08825194474799146  ,0.07953418260435316    ,0.5097128378378378  ,0.003542238706874339    ,0.08958933845153505 ,0.03953861885910204    ,0.5054898648648649  ,0.0019057042781484039   ,0.08741881079936023 ,0.02179970490015349     ,0.4987331081081081  ,0.0003382568269367724   ,0.08126894061362976  ,0.004162190676816117    ,0.4970439189189189
alpha005 ,0.02617752452277305     ,0.09206441017629527  ,0.28433924111005965    ,0.6154492023509656  ,0.025367925219389298    ,0.0954727807412518  ,0.26570845661383724    ,0.6078925272879933  ,0.029702346234641595    ,0.09678693288131943 ,0.30688384630457033     ,0.6280436607892528  ,0.033812959917645734    ,0.0915198807067801   ,0.36946027088888844     ,0.6578505457598657
alpha006 ,0.011748090239531288    ,0.128003396593706    ,0.09177951954525673    ,0.5295845572807386  ,0.003942634933277701    ,0.12799000117355291 ,0.03080424171519098    ,0.5077633235417541  ,0.003071103453818547    ,0.12531501152628927 ,0.02450706756049154     ,0.4960134284515317  ,0.008348545992467283    ,0.11451584800086367  ,0.07290297490007076     ,0.5279060008392782
alpha007 ,0.012028939531365593    ,0.08369223143035553  ,0.14372826875067218    ,0.5616610738255033  ,0.015972665254891345    ,0.08050944114291265 ,0.19839493391263513    ,0.5683724832214765  ,0.01870224197086473     ,0.08069400753822313 ,0.23176742042469328     ,0.5935402684563759  ,0.021944514827219194    ,0.07549017451754629  ,0.290693656061407       ,0.6073825503355704
alpha008 ,0.0217200327228456      ,0.1591876449118965   ,0.13644295532399328    ,0.5434326479227864  ,0.01258342418493353     ,0.1582738350700929  ,0.07950413395467959    ,0.527066722618548   ,0.011270332628662989    ,0.1560319102714692  ,0.07223094692011725     ,0.5086026017624843  ,0.009509060099425648    ,0.1444271132000266   ,0.06583985436485132     ,0.5165757448594209
alpha009 ,-0.01758045492195735    ,0.17081613591249228  ,-0.10292034079827021   ,0.46269907795473597 ,-0.00902383841124612    ,0.16896118295431387 ,-0.05340776060786763   ,0.48742665549036046 ,-0.005844523164971333   ,0.1671123388344667  ,-0.034973618379912884   ,0.501257334450964   ,-0.003661082224040634   ,0.16351613985216185  ,-0.022389730012894692   ,0.5033528918692373
alpha010 ,-0.016061941517932117   ,0.19850509013716175  ,-0.08091450706293597   ,0.4888795635753252  ,-0.01930241410105678    ,0.20499480134134462 ,-0.09416050541162553   ,0.4943348720100713  ,-0.026154712528637002   ,0.2083947614176493  ,-0.12550561420409062    ,0.4590851867394041  ,-0.039771652733269054   ,0.2053170103904306   ,-0.19370851279024237    ,0.44020142677297525
alpha011 ,-0.0053028652658216125  ,0.13038061462307982  ,-0.040672191039686244  ,0.4932829554995802  ,0.0008617288174123302   ,0.12705269313524423 ,0.006782452194815286   ,0.5117548278757347  ,-0.0023722801374378402  ,0.1266579954686552  ,-0.018729809584148382   ,0.5109151973131822  ,-0.009270869372088684   ,0.11790392723836945  ,-0.07863070882571642    ,0.4882451721242653
alpha012 ,0.0190703297726522      ,0.1581788492057414   ,0.12056181890568468    ,0.5437342304457528  ,0.01124079905337462     ,0.15570056826028952 ,0.07219497769965119    ,0.5185029436501262  ,0.010409377267588622    ,0.15142034676675364 ,0.06874490443231596     ,0.5168208578637511  ,0.006033488771048961    ,0.14027674314211283  ,0.043011326296166566    ,0.5021026072329688
alpha013 ,0.016824722954088236    ,0.10376978114381381  ,0.1621350914364074     ,0.5710096355257646  ,0.014967225814845801    ,0.09931350768706504 ,0.1507068490824757     ,0.5722664432341852  ,0.015667402919842564    ,0.09814545191772141 ,0.15963452828132135     ,0.5634687892752409  ,0.01097940817991872     ,0.091368449075055    ,0.1201662969117451      ,0.5588604943443654
alpha014 ,-0.024209015655653726   ,0.1605647810089431   ,-0.1507741330541555    ,0.44878253568429893 ,-0.015364726845388697   ,0.15881728317285781 ,-0.0967446775214359    ,0.47774979009235935 ,-0.013997445301727156   ,0.15688055081877916 ,-0.08922358589814189    ,0.4802686817800168  ,-0.011566514473967627   ,0.14418824469253017  ,-0.08021815161584281    ,0.4802686817800168
