日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-12-30,002027,11.15,11.14,11.51,10.85,100259,450712128.0,5.89,-0.54,-0.06,4.89
2015-12-31,002027,11.16,10.41,11.21,10.25,140272,606366976.0,8.62,-6.55,-0.73,6.85
2016-01-04,002027,10.26,9.15,10.26,9.15,106438,419563216.0,10.66,-12.1,-1.26,5.19
2016-01-05,002027,8.16,8.3,8.87,8.01,156202,559118144.0,9.4,-9.29,-0.85,7.62
2016-01-06,002027,8.4,8.84,9.06,8.01,168584,614674912.0,12.65,6.51,0.54,8.23
2016-01-07,002027,8.46,7.73,8.46,7.73,37700,130019323.0,8.26,-12.56,-1.11,1.84
2016-01-08,002027,7.87,7.45,8.12,6.79,143918,474957408.0,17.21,-3.62,-0.28,7.02
2016-01-11,002027,6.98,6.48,7.32,6.48,134325,411191728.0,11.28,-13.02,-0.97,6.56
2016-01-12,002027,6.41,7.35,7.35,6.23,240780,750674560.0,17.28,13.43,0.87,11.75
2016-01-13,002027,7.45,6.5,7.46,6.48,186663,579067840.0,13.33,-11.56,-0.85,9.11
2016-01-14,002027,6.05,7.02,7.27,5.83,196558,590226976.0,22.15,8.0,0.52,9.59
2016-01-15,002027,6.67,7.02,7.34,6.65,169779,528743472.0,9.83,0.0,0.0,8.29
2016-01-18,002027,6.81,7.78,7.95,6.79,209244,687972112.0,16.52,10.83,0.76,10.21
2016-01-19,002027,7.57,7.92,7.97,7.37,228819,766563792.0,7.71,1.8,0.14,11.17
2016-01-20,002027,7.74,7.65,8.13,7.57,154185,521594128.0,7.07,-3.41,-0.27,7.53
2016-01-21,002027,7.45,6.66,7.6,6.66,149336,473906272.0,12.29,-12.94,-0.99,7.29
2016-01-22,002027,6.84,7.05,7.27,6.45,132859,408656848.0,12.31,5.86,0.39,6.48
2016-01-25,002027,7.12,6.98,7.21,6.82,106429,332283296.0,5.53,-0.99,-0.07,5.19
2016-01-26,002027,6.79,6.06,6.88,6.06,129363,374877248.0,11.75,-13.18,-0.92,6.31
2016-01-27,002027,6.06,6.25,6.26,5.25,156210,419079632.0,16.67,3.14,0.19,7.62
2016-01-28,002027,6.04,5.73,6.18,5.53,107975,297205104.0,10.4,-8.32,-0.52,5.27
2016-01-29,002027,6.39,6.52,6.52,6.11,77841,227581960.0,7.16,13.79,0.79,3.8
2016-02-01,002027,7.23,6.76,7.23,6.59,203922,629309760.0,9.82,3.68,0.24,9.95
2016-02-02,002027,6.62,7.15,7.54,6.59,165160,520634768.0,14.05,5.77,0.39,8.06
2016-02-03,002027,6.86,7.46,7.67,6.67,176418,564282704.0,13.99,4.34,0.31,8.61
2016-02-04,002027,7.47,7.82,8.29,7.29,168786,570964800.0,13.4,4.83,0.36,8.24
2016-02-05,002027,7.78,7.4,8.01,7.39,108882,361622992.0,7.93,-5.37,-0.42,5.31
2016-02-15,002027,6.91,7.23,7.33,6.73,86583,271106096.0,8.11,-2.3,-0.17,4.23
2016-02-16,002027,7.35,7.87,8.13,7.24,147548,499978304.0,12.31,8.85,0.64,7.2
2016-02-17,002027,7.84,8.22,8.22,7.69,183635,629567360.0,6.73,4.45,0.35,8.96
2016-02-18,002027,8.19,7.89,8.46,7.88,147924,514106064.0,7.06,-4.01,-0.33,7.22
2016-02-19,002027,7.78,7.81,8.01,7.68,115215,390636368.0,4.18,-1.01,-0.08,5.62
2016-02-22,002027,8.22,8.0,8.31,7.87,126845,438369696.0,5.63,2.43,0.19,6.19
2016-02-23,002027,7.88,7.59,8.04,7.41,110857,371474592.0,7.88,-5.13,-0.41,5.41
2016-02-24,002027,7.57,7.56,7.76,7.27,101677,332869136.0,6.46,-0.4,-0.03,4.96
2016-02-25,002027,7.57,7.56,8.34,7.43,294506,998465504.0,12.04,0.0,0.0,14.37
2016-02-26,002027,7.64,7.09,7.65,6.68,188242,596513936.0,12.83,-6.22,-0.47,9.19
2016-02-29,002027,7.09,6.15,7.09,6.15,128165,371068912.0,13.26,-13.26,-0.94,6.26
2016-03-01,002027,6.08,6.2,6.29,5.63,122620,339713648.0,10.73,0.81,0.05,5.98
2016-03-02,002027,6.2,6.58,6.72,6.08,130842,380295872.0,10.32,6.13,0.38,6.39
2016-03-03,002027,6.45,6.5,7.06,6.41,126973,384477184.0,9.88,-1.22,-0.08,6.2
2016-03-04,002027,6.44,6.6,7.03,5.82,157161,463428240.0,18.62,1.54,0.1,7.67
2016-03-07,002027,6.7,6.84,7.02,6.64,112781,343691424.0,5.76,3.64,0.24,5.5
2016-03-08,002027,6.84,6.74,6.84,6.23,107699,317919408.0,8.92,-1.46,-0.1,5.26
2016-03-09,002027,6.41,6.35,6.67,6.32,89413,261612668.0,5.19,-5.79,-0.39,4.36
2016-03-10,002027,6.38,6.03,6.49,6.02,76499,217430608.0,7.4,-5.04,-0.32,3.73
2016-03-11,002027,5.87,5.92,6.07,5.82,54114,149209872.0,4.15,-1.82,-0.11,2.64
2016-03-14,002027,6.02,6.36,6.45,6.01,105291,302853296.0,7.43,7.43,0.44,5.14
2016-03-15,002027,6.31,6.09,6.34,6.05,84945,240685604.0,4.56,-4.25,-0.27,4.15
2016-03-16,002027,6.34,6.09,6.37,5.97,73366,207083211.0,6.57,0.0,0.0,3.58
2016-03-17,002027,6.14,6.43,6.6,6.05,139019,400774768.0,9.03,5.58,0.34,6.78
2016-03-18,002027,6.43,6.95,7.0,6.4,204445,621789952.0,9.33,8.09,0.52,9.98
2016-03-21,002027,7.07,7.27,7.31,6.68,186674,585290880.0,9.06,4.6,0.32,9.11
2016-03-22,002027,7.03,7.15,7.36,7.01,118678,375468432.0,4.81,-1.65,-0.12,5.79
2016-03-23,002027,7.02,7.31,7.4,7.02,105300,335169920.0,5.31,2.24,0.16,5.14
2016-03-24,002027,7.21,6.93,7.21,6.92,125511,394041904.0,3.97,-5.2,-0.38,6.13
2016-03-25,002027,6.95,6.88,7.1,6.7,80576,248535170.0,5.77,-0.72,-0.05,3.93
2016-03-28,002027,6.97,6.65,7.2,6.62,109240,337539488.0,8.43,-3.34,-0.23,5.33
2016-03-29,002027,6.65,6.41,6.81,6.35,86814,256847752.0,6.92,-3.61,-0.24,4.24
2016-03-30,002027,6.51,6.74,6.76,6.49,85143,253814582.0,4.21,5.15,0.33,4.16
2016-03-31,002027,7.07,6.93,7.15,6.88,140773,437053376.0,4.01,2.82,0.19,6.87
2016-04-01,002027,6.77,7.85,7.85,6.77,335598,1116214160.0,15.58,13.28,0.92,16.38
2016-04-05,002027,8.01,8.2,8.35,7.85,318402,1105251472.0,6.37,4.46,0.35,15.54
2016-04-06,002027,8.04,8.07,8.15,7.83,205542,706695808.0,3.9,-1.59,-0.13,10.03
2016-04-07,002027,8.09,7.71,8.21,7.7,151038,514625344.0,6.32,-4.46,-0.36,7.37
2016-04-08,002027,7.54,7.37,7.55,7.18,130820,423007856.0,4.8,-4.41,-0.34,6.38
2016-04-11,002027,7.52,7.75,7.81,7.45,123633,410623472.0,4.88,5.16,0.38,6.03
2016-04-12,002027,7.62,7.88,7.92,7.42,130129,432048928.0,6.45,1.68,0.13,6.35
2016-04-13,002027,7.85,7.92,8.09,7.77,188572,645362976.0,4.06,0.51,0.04,9.2
2016-04-14,002027,7.92,7.96,8.01,7.76,128902,439289584.0,3.16,0.51,0.04,6.29
2016-04-15,002027,7.93,7.85,7.93,7.68,97480,328735664.0,3.14,-1.38,-0.11,4.76
2016-04-18,002027,7.82,7.83,8.63,7.72,219945,769232656.0,11.59,-0.25,-0.02,10.73
2016-04-19,002027,7.57,7.52,7.73,7.44,115965,382251776.0,3.7,-3.96,-0.31,5.66
2016-04-20,002027,7.62,6.62,7.62,6.54,148146,461392576.0,14.36,-11.97,-0.9,7.23
2016-04-21,002027,6.54,6.73,7.06,6.54,98563,300878928.0,7.85,1.66,0.11,4.81
2016-04-22,002027,7.11,6.97,7.36,6.92,105193,330119280.0,6.54,3.57,0.24,5.13
2016-04-25,002027,6.74,6.75,6.93,6.67,65217,198238159.0,3.73,-3.16,-0.22,3.18
2016-04-26,002027,6.76,6.96,7.01,6.62,85528,260972947.0,5.78,3.11,0.21,4.17
2016-04-27,002027,6.88,6.95,7.18,6.87,80431,251078305.0,4.45,-0.14,-0.01,3.93
2016-04-28,002027,7.11,7.06,7.15,6.69,80098,248258699.0,6.62,1.58,0.11,3.91
2016-04-29,002027,6.94,7.51,7.57,6.89,115254,369125040.0,9.63,6.37,0.45,5.63
2016-05-03,002027,7.51,7.6,7.63,7.22,100157,328033888.0,5.46,1.2,0.09,4.89
2016-05-04,002027,7.51,7.44,7.8,7.44,94687,313351824.0,4.74,-2.11,-0.16,4.62
2016-05-05,002027,7.44,7.51,7.6,7.38,54256,178045601.0,2.96,0.94,0.07,2.65
2016-05-06,002027,7.51,6.84,7.62,6.82,102988,326786672.0,10.65,-8.92,-0.67,5.03
2016-05-09,002027,6.67,6.19,6.67,6.11,85211,245461555.0,8.19,-9.5,-0.65,4.16
2016-05-10,002027,6.19,6.74,6.97,6.19,115831,343936816.0,12.6,8.89,0.55,5.65
2016-05-11,002027,6.73,6.4,6.82,6.32,67661,198509459.0,7.42,-5.04,-0.34,3.3
