date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2015-12-30,2889.9550,2919.5080,2870.2170,2919.3600,2886.8440,490303728,8521245696.0000,3,0.028560,1,1.126400,0
2015-12-31,2912.5960,2926.9710,2862.2060,2862.3610,2919.3600,495349584,7855459328.0000,3,0.028854,1,-1.952400,0
2016-01-04,2860.5040,2863.4900,2602.1680,2602.2730,2862.3610,383952640,6324104192.0000,3,0.022365,1,-9.086500,0
2016-01-05,2454.3570,2615.3360,2436.5640,2546.7900,2602.2730,561766704,8765468160.0000,3,0.032722,1,-2.132100,0
2016-01-06,2560.7130,2609.6660,2515.3630,2609.6280,2546.7900,474309968,7466080768.0000,3,0.027633,1,2.467300,0
2016-01-07,2545.3760,2545.3770,2366.6030,2368.9430,2609.6280,131849251,1954307616.0000,3,0.007681,1,-9.223000,0
2016-01-08,2421.7260,2447.1110,2260.0960,2374.3480,2368.9430,462603568,6737987840.0000,3,0.026951,1,0.228200,0
2016-01-11,2320.9590,2348.4190,2183.3460,2184.0390,2374.3480,426096528,5832380928.0000,3,0.024780,1,-8.015200,0
2016-01-12,2194.1770,2233.8320,2147.8520,2212.8960,2184.0390,332722112,4698836224.0000,3,0.019350,1,1.321300,0
2016-01-13,2232.7430,2249.5730,2129.5390,2133.6610,2212.8960,309427648,4258496352.0000,3,0.017995,1,-3.580600,0
2016-01-14,2061.8940,2225.7100,2056.1650,2219.6810,2133.6610,343685680,4704247296.0000,3,0.019988,1,4.031600,0
2016-01-15,2199.2050,2218.6680,2108.5150,2126.6300,2219.6810,306569360,4396547584.0000,3,0.017829,1,-4.192100,0
2016-01-18,2085.5700,2190.5150,2085.5700,2163.5300,2126.6300,234826666,3400845008.0000,3,0.013657,1,1.735100,0
2016-01-19,2158.8050,2251.5410,2149.5080,2247.3310,2163.5300,311587424,4657761536.0000,3,0.018121,1,3.873300,0
2016-01-20,2229.3760,2261.0550,2213.3480,2228.0380,2247.3310,287850624,4569976576.0000,3,0.016740,1,-0.858500,0
2016-01-21,2192.0360,2243.6010,2119.5140,2119.5750,2228.0380,276150528,4156723872.0000,3,0.016060,1,-4.868100,0
2016-01-22,2146.0350,2161.2790,2079.3060,2145.4380,2119.5750,237551134,3459713872.0000,3,0.013815,1,1.220200,0
2016-01-25,2169.3360,2192.6120,2146.9550,2171.5100,2145.4380,193143260,2967717776.0000,3,0.011233,1,1.215200,0
2016-01-26,2143.7520,2148.1930,2002.5950,2006.2860,2171.5100,289069616,3913656192.0000,3,0.016811,1,-7.608700,0
2016-01-27,2011.0350,2017.9940,1878.8600,1970.7280,2006.2860,310844992,3872837632.0000,3,0.018078,1,-1.772300,0
2016-01-28,1943.6370,1973.6740,1878.8280,1887.1980,1970.7280,221676078,2801470320.0000,3,0.012892,1,-4.238500,0
2016-01-29,1888.4760,1983.5110,1888.1110,1968.1110,1887.1980,269209280,3417832672.0000,3,0.015656,1,4.287500,0
2016-02-01,1963.0460,1978.6900,1910.7060,1941.1490,1968.1110,210952529,2899887408.0000,3,0.012268,1,-1.369900,0
2016-02-02,1944.8000,2019.9530,1944.8000,2008.7970,1941.1490,243445874,3342100432.0000,3,0.014158,1,3.484900,0
2016-02-03,1987.1070,2023.5740,1972.2800,2017.2670,2008.7970,194828045,2632020448.0000,3,0.011331,1,0.421600,0
2016-02-04,2030.1050,2067.2380,2030.1060,2059.2870,2017.2680,217596535,3182422576.0000,3,0.012655,1,2.083000,0
2016-02-05,2060.7110,2065.1980,2030.4030,2030.4020,2059.2870,213322386,2798902048.0000,3,0.012406,1,-1.402700,0
2016-02-15,1965.2980,2027.0190,1962.7960,2013.2400,2030.4030,170050221,2200458800.0000,3,0.009890,1,-0.845300,0
2016-02-16,2025.0670,2103.1550,2025.0670,2099.0570,2013.2410,243298141,3331989456.0000,3,0.014150,1,4.262600,0
2016-02-17,2099.6160,2136.8720,2094.7790,2136.4190,2099.0580,283828016,4322500608.0000,3,0.016507,1,1.779900,0
2016-02-18,2159.5480,2172.9530,2142.2430,2146.5960,2136.4200,296537808,4591972608.0000,3,0.017246,1,0.476300,0
2016-02-19,2138.7910,2162.1590,2129.2440,2145.6180,2146.5970,254462074,3733573840.0000,3,0.014799,1,-0.045600,0
2016-02-22,2177.5480,2198.0380,2169.0490,2195.9910,2145.6180,303135104,4445880320.0000,3,0.017629,1,2.347700,0
2016-02-23,2204.9890,2208.9880,2156.9370,2184.9330,2195.9910,260254837,4034157872.0000,3,0.015136,1,-0.503500,0
2016-02-24,2179.1060,2207.3480,2144.3830,2207.2520,2184.9340,374533456,5194635520.0000,3,0.021782,1,1.021400,0
2016-02-25,2198.7120,2198.7120,2022.5390,2025.1100,2207.2530,367951936,4876279808.0000,3,0.021399,1,-8.252000,0
2016-02-26,2039.9750,2051.8800,1970.0900,2010.0730,2025.1100,282523968,3542897024.0000,3,0.016431,1,-0.742500,0
2016-02-29,2003.4430,2003.4440,1871.7750,1893.2820,2010.0730,273900976,3237973456.0000,3,0.015928,1,-5.810300,0
2016-03-01,1899.4400,1964.0760,1882.1340,1949.1690,1893.2820,264434357,3171793728.0000,3,0.015377,1,2.951900,0
2016-03-02,1947.3260,2056.4930,1947.3270,2052.8610,1949.1690,339055424,4139816640.0000,3,0.019717,1,5.319800,0
2016-03-03,2069.2240,2116.5820,2066.8980,2074.3080,2052.8610,475815184,6108763392.0000,3,0.027669,1,1.044700,0
2016-03-04,2061.7270,2082.5290,1972.8580,2001.4790,2074.3090,381105344,5071498752.0000,3,0.022162,1,-3.511100,0
2016-03-07,2017.9230,2063.8060,2017.9230,2037.4810,2001.4790,282070592,3785220304.0000,3,0.016396,1,1.798800,0
2016-03-08,2032.2610,2059.2840,1956.8750,2059.0140,2037.4810,312212992,3938755408.0000,3,0.018148,1,1.056800,0
2016-03-09,2009.2260,2038.1930,1992.7100,2016.0210,2059.0140,250439870,3101208640.0000,3,0.014557,1,-2.088000,0
2016-03-10,2018.7900,2029.1840,1966.6600,1969.4590,2016.0220,214751675,2666385424.0000,3,0.012483,1,-2.309600,0
2016-03-11,1943.2880,1983.1440,1936.8580,1969.3910,1969.4590,171084400,2148859584.0000,3,0.009944,1,-0.003500,0
2016-03-14,1992.2010,2077.2820,1992.2010,2052.5780,1969.3920,386078304,4885040384.0000,3,0.022441,1,4.223900,0
2016-03-15,2045.4180,2063.7750,2028.9990,2037.5390,2052.5790,286520464,3712097904.0000,3,0.016650,1,-0.732700,0
2016-03-16,2055.2940,2062.9630,2014.6730,2029.0760,2037.5400,303694384,3915042656.0000,3,0.017648,1,-0.415400,0
2016-03-17,2032.4330,2116.7760,2032.4330,2111.0560,2029.0770,436006368,5872070400.0000,3,0.025343,1,4.040200,0
2016-03-18,2123.0030,2200.3780,2118.1280,2192.1070,2111.0560,600098080,8299264000.0000,3,0.034885,1,3.839400,0
2016-03-21,2221.6360,2255.3610,2215.3220,2255.2750,2192.1080,669932784,9473621248.0000,3,0.038945,1,2.881600,0
2016-03-22,2230.6370,2268.6340,2218.0090,2241.4720,2255.2760,490956848,7259180288.0000,3,0.028541,1,-0.612100,0
2016-03-23,2235.0920,2270.0970,2225.2770,2269.4540,2241.4730,404451168,6075218432.0000,3,0.023512,1,1.248300,0
2016-03-24,2246.9690,2280.9420,2229.0240,2233.1040,2269.4540,448306240,7120812800.0000,3,0.026061,1,-1.601700,0
2016-03-25,2223.0110,2256.0190,2218.3270,2256.0180,2233.1040,331495376,5141555456.0000,3,0.019271,1,1.026100,0
2016-03-28,2269.8470,2303.5040,2249.5980,2258.0340,2256.0190,382436288,6061743616.0000,3,0.022233,1,0.089300,0
2016-03-29,2254.8130,2260.0460,2192.0530,2217.9530,2258.0340,415394544,6241956352.0000,3,0.024149,1,-1.775000,0
2016-03-30,2235.4400,2323.6340,2234.4530,2323.4920,2217.9540,438099952,6931348224.0000,3,0.025469,1,4.758300,0
2016-03-31,2330.9590,2357.9130,2317.1260,2326.9050,2323.4930,467466896,7986762752.0000,3,0.027173,1,0.146900,0
2016-04-01,2315.2730,2326.7920,2271.0300,2308.7370,2326.9060,370224752,5822566656.0000,3,0.021356,1,-0.780800,0
2016-04-05,2310.6240,2380.4740,2307.5700,2368.2420,2308.7380,382212416,6318170368.0000,3,0.022048,1,2.577300,0
2016-04-06,2360.3910,2381.1080,2354.9100,2378.1620,2368.2430,454046544,7444376832.0000,3,0.026468,1,0.418800,0
2016-04-07,2386.0140,2391.9230,2341.8950,2342.2770,2378.1630,411810656,6678973952.0000,3,0.024006,1,-1.509000,0
2016-04-08,2310.6080,2331.6220,2283.8300,2314.7410,2342.2770,345329056,5823940608.0000,3,0.020130,1,-1.175600,0
2016-04-11,2333.8710,2391.6850,2333.8710,2372.8400,2314.7410,417179120,7320013312.0000,3,0.024319,1,2.510000,0
2016-04-12,2372.7380,2382.4070,2326.5930,2356.8050,2372.8410,407444928,6954725376.0000,3,0.023755,1,-0.675800,0
2016-04-13,2365.2800,2424.8610,2365.2810,2389.5160,2356.8060,527447904,8339542016.0000,3,0.030751,1,1.387900,0
2016-04-14,2398.0440,2412.0780,2376.9550,2407.5390,2389.5160,310928864,5182679040.0000,3,0.018128,1,0.754300,0
2016-04-15,2416.6060,2421.7640,2396.1010,2410.0520,2407.5400,318255872,5074588928.0000,3,0.018555,1,0.104300,0
2016-04-18,2397.5490,2397.5500,2360.2680,2378.1460,2410.0530,388430384,6009913344.0000,3,0.022646,1,-1.323900,0
2016-04-19,2385.6720,2397.8640,2354.4320,2371.8330,2378.1460,290263952,4705115136.0000,3,0.016925,1,-0.265500,0
2016-04-20,2374.6890,2381.5870,2206.0270,2248.9630,2371.8340,470954464,7096236544.0000,3,0.027452,1,-5.180400,0
2016-04-21,2234.7350,2260.8140,2208.0150,2211.1330,2248.9630,274428800,3980681504.0000,3,0.015996,1,-1.682100,0
2016-04-22,2195.2600,2235.7370,2191.5860,2235.7370,2211.1330,233964677,3463428016.0000,3,0.013499,1,1.112700,0
